original_varname,new_varname,object_name,quantity_name,annotated_object_name
earth_black-body__temperature,earth_black-body__temperature,earth_black-body,temperature,(earth-has-model-abstraction-black-body)
earth_core-mantle_boundary__depth,earth_core-mantle-boundary__depth,earth_core-mantle-boundary,depth,(earth-has-abstraction-core-mantle-boundary)
earth_core~inner__radius,earth-inner-core__radius,earth-inner-core,radius,earth-inner-core
earth_core~outer__radius,earth-outer-core__radius,earth-outer-core,radius,earth-outer-core
earth_crust-mantle_boundary__depth,earth_crust-mantle-boundary__depth,earth_crust-mantle-boundary,depth,(earth-has-abstraction-crust-mantle-boundary)
earth_datum_ellipsoid__eccentricity,earth_datum_ellipsoid__eccentricity,earth_datum_ellipsoid,eccentricity,((earth-has-abstraction-datum)-has-abstraction-ellipsoid)
earth_datum_ellipsoid__equatorial_radius,earth_datum_ellipsoid_equator__radius,earth_datum_ellipsoid_equator,radius,(((earth-has-abstraction-datum)-has-abstraction-ellipsoid)-has-abstraction-equator)
earth_datum_ellipsoid__flattening_ratio,earth_datum_ellipsoid__flattening_ratio,earth_datum_ellipsoid,flattening_ratio,((earth-has-abstraction-datum)-has-abstraction-ellipsoid)
earth_datum_ellipsoid__inverse_of_flattening_ratio,earth_datum_ellipsoid__inverse_of_flattening_ratio,earth_datum_ellipsoid,inverse_of_flattening_ratio,((earth-has-abstraction-datum)-has-abstraction-ellipsoid)
earth_datum_ellipsoid__polar_radius,earth_datum_ellipsoid__polar_radius,earth_datum_ellipsoid,polar_radius,((earth-has-abstraction-datum)-has-abstraction-ellipsoid)
earth_datum_ellipsoid__second_flattening_ratio,earth_datum_ellipsoid__second_flattening_ratio,earth_datum_ellipsoid,second_flattening_ratio,((earth-has-abstraction-datum)-has-abstraction-ellipsoid)
earth_datum_ellipsoid__third_flattening_ratio,earth_datum_ellipsoid__third_flattening_ratio,earth_datum_ellipsoid,third_flattening_ratio,((earth-has-abstraction-datum)-has-abstraction-ellipsoid)
earth_datum_ellipsoid_surface_point-pair_geodesic__distance,earth_datum_ellipsoid_surface_point-pair_geodesic__distance,earth_datum_ellipsoid_surface_point-pair_geodesic,distance,(((((earth-has-abstraction-datum)-has-abstraction-ellipsoid)-has-abstraction-surface)-has-abstraction-point-pair)-has-abstraction-geodesic)
earth_day~sidereal__duration,earth_sidereal-day__duration,earth_sidereal-day,duration,(earth-participates-in-sidereal-day)
earth_day~solar-mean__duration,earth_solar-mean-day__duration,earth_solar-mean-day,duration,(earth-participates-in-solar-mean-day)
earth_day~stellar__duration,earth_stellar-day__duration,earth_stellar-day,duration,(earth-participates-in-stellar-day)
earth_ellipsoid__equatorial_radius,earth_ellipsoid_equator__radius,earth_ellipsoid_equator,radius,((earth-has-abstraction-ellipsoid)-has-abstraction-equator)
earth_ellipsoid__inverse_of_flattening_ratio,earth_ellipsoid__inverse_of_flattening_ratio,earth_ellipsoid,inverse_of_flattening_ratio,(earth-has-abstraction-ellipsoid)
earth_ellipsoid__polar_radius,earth_ellipsoid__polar_radius,earth_ellipsoid,polar_radius,(earth-has-abstraction-ellipsoid)
earth_equator__average_temperature,earth_equator__average_of_temperature,earth_equator,average_of_temperature,(earth-has-abstraction-equator)
earth_equator__circumference,earth_equator__circumference,earth_equator,circumference,(earth-has-abstraction-equator)
earth_equator_plane-to-sun__declination_angle,earth_equator_plane_sun__declination_angle,earth_equator_plane_sun,declination_angle,(((earth-has-abstraction-equator)-has-abstraction-plane)-wrt-sun)
earth_gravity__escape_speed,earth_gravity_projectile_escape__speed,earth_gravity_projectile_escape,speed,((earth-is-source-of-gravity)-as-source-projectile-undergoes-process-escape)
earth_human__carrying_capacity,earth_human__carrying_capacity,earth_human,carrying_capacity,(earth-as-medium-human)
earth_interior__down_z_derivative_of_temperature,earth_interior__down_z_derivative_of_temperature,earth_interior,down_z_derivative_of_temperature,(earth-has-part-interior)
earth_interior_earthquake__count,earth_interior_earthquake__count,earth_interior_earthquake,count,((earth-has-part-interior)-contains-earthquake)
earth_interior_earthquake__critical_slip_distance,earth_interior_earthquake__critical_seismic_slip_distance,earth_interior_earthquake,critical_seismic_slip_distance,((earth-has-part-interior)-contains-earthquake)
earth_interior_earthquake__drop_of_dynamic_stress,earth_interior_earthquake__drop_of_dynamic_stress,earth_interior_earthquake,drop_of_dynamic_stress,((earth-has-part-interior)-contains-earthquake)
earth_interior_earthquake__drop_of_static_stress,earth_interior_earthquake__drop_of_static_stress,earth_interior_earthquake,drop_of_static_stress,((earth-has-part-interior)-contains-earthquake)
earth_interior_earthquake__duration,earth_interior_earthquake__duration,earth_interior_earthquake,duration,((earth-has-part-interior)-contains-earthquake)
earth_interior_earthquake__east_component_of_slip-vector,earth_interior_earthquake__east_component_of_seismic_slip,earth_interior_earthquake,east_component_of_seismic_slip,((earth-has-part-interior)-contains-earthquake)
earth_interior_earthquake__east_east_component_of_moment_tensor,earth_interior_earthquake__east_east_component_of_seismic_moment,earth_interior_earthquake,east_east_component_of_seismic_moment,((earth-has-part-interior)-contains-earthquake)
earth_interior_earthquake__east_up_component_of_moment_tensor,earth_interior_earthquake__east_up_component_of_seismic_moment,earth_interior_earthquake,east_up_component_of_seismic_moment,((earth-has-part-interior)-contains-earthquake)
earth_interior_earthquake__gutenberg-richter_law_a_parameter,earth_interior_earthquake__gutenberg-richter-law_a_parameter,earth_interior_earthquake,gutenberg-richter-law_a_parameter,((earth-has-part-interior)-contains-earthquake)
earth_interior_earthquake__gutenberg-richter_law_b_parameter,earth_interior_earthquake__gutenberg-richter-law_b_parameter,earth_interior_earthquake,gutenberg-richter-law_b_parameter,((earth-has-part-interior)-contains-earthquake)
