original_varname,new_varname,object_name,quantity_name,annotated_object_name
sea_ice_radiation~incoming~total__absorptance,sea_ice_radiation~incoming_absorption__absorptance,sea_ice_radiation~incoming_absorption,absorptance,((sea-is-location-of-origin-of-ice)-as-sink-radiation~incoming-undergoes-process-absorption)
sea_ice_radiation~incoming~total__reflectance,sea_ice_radiation~incoming_reflection__reflectance,sea_ice_radiation~incoming_reflection,reflectance,((sea-is-location-of-origin-of-ice)-as-source-radiation~incoming-undergoes-process-reflection)
sea_ice_radiation~incoming~total__reflected_energy_flux,sea_ice_radiation~incoming~reflected__energy_flux,sea_ice_radiation~incoming~reflected,energy_flux,((sea-is-location-of-ice)-is-location-of-radiation~incoming~reflected)
sea_ice_radiation~incoming~total__transmittance,sea_ice_radiation~incoming_transmission__transmittance,sea_ice_radiation~incoming_transmission,transmittance,((sea-is-location-of-origin-of-ice)-as-sink-radiation~incoming-undergoes-process-transmission)
sea_ice_radiation~incoming~total__transmitted_energy_flux,sea_ice_radiation~incoming~transmitted__energy_flux,sea_ice_radiation~incoming~transmitted,energy_flux,((sea-is-location-of-ice)-is-location-of-radiation~incoming~transmitted)
sea_ice_radiation~outgoing~longwave__emittance,sea_ice_radiation~outgoing~longwave_emission__emittance,sea_ice_radiation~outgoing~longwave_emission,emittance,((sea-is-location-of-origin-of-ice)-as-source-radiation~outgoing~longwave-undergoes-process-emission)
sea_ice_radiation~outgoing~longwave~downward__energy_flux,sea_ice_radiation~outgoing~longwave~downward__energy_flux,sea_ice_radiation~outgoing~longwave~downward,energy_flux,((sea-is-location-of-ice)-is-location-of-radiation~outgoing~longwave~downward)
sea_ice_radiation~outgoing~longwave~upward__energy_flux,sea_ice_radiation~outgoing~longwave~upward__energy_flux,sea_ice_radiation~outgoing~longwave~upward,energy_flux,((sea-is-location-of-ice)-is-location-of-radiation~outgoing~longwave~upward)
sea_ice_salt__mass_concentration,sea_ice_salt__mass_concentration,sea_ice_salt,mass_concentration,(sea-is-location-of-(ice-as-medium-salt))
sea_ice_salt__volume_concentration,sea_ice_salt__volume_concentration,sea_ice_salt,volume_concentration,(sea-is-location-of-(ice-as-medium-salt))
sea_ice_surface_air__temperature,sea_ice_surface_air__temperature,sea_ice_surface_air,temperature,((sea-is-location-of-origin-of-(ice-has-abstraction-surface))-is-location-of-air)
sea_photic-zone_bottom__depth,sea_photic-zone_bottom__depth,sea_photic-zone_bottom,depth,(sea-contains-part-(photic-zone-has-part-bottom))
sea_shoreline__azimuth_angle_of_normal-vector,sea_shoreline__azimuth_angle_of_normal-vector,sea_shoreline,azimuth_angle_of_normal-vector,(sea-has-abstraction-shoreline)
sea_shoreline__azimuth_angle_tangent-vector,sea_shoreline__azimuth_angle_tangent-vector,sea_shoreline,azimuth_angle_tangent-vector,(sea-has-abstraction-shoreline)
sea_shoreline__closure_depth,sea_shoreline__closure_depth,sea_shoreline,closure_depth,(sea-has-abstraction-shoreline)
sea_shoreline__curvature,sea_shoreline__curvature,sea_shoreline,curvature,(sea-has-abstraction-shoreline)
sea_shoreline_axis~x-to-axis~east__rotation_angle,sea_shoreline_axis~x_axis~east__angle,sea_shoreline_axis~x_axis~east,angle,(((sea-has-abstraction-shoreline)-has-abstraction-axis~x)-as-first-main-axis~east-as-second-main)
sea_shoreline_wave~breaking__azimuth_angle_of_phase_velocity,sea_shoreline_breaking-wave__azimuth_angle_of_phase_velocity,sea_shoreline_breaking-wave,azimuth_angle_of_phase_velocity,((sea-has-abstraction-shoreline)-is-location-of-breaking-wave)
sea_shoreline_wave~breaking__height,sea_shoreline_breaking-wave__height,sea_shoreline_breaking-wave,height,((sea-has-abstraction-shoreline)-is-location-of-breaking-wave)
sea_shoreline_wave~breaking__period,sea_shoreline_breaking-wave__period,sea_shoreline_breaking-wave,period,((sea-has-abstraction-shoreline)-is-location-of-breaking-wave)
sea_shoreline_wave~incoming__azimuth_angle_of_group_velocity,sea_shoreline_water_wave~incoming__azimuth_angle_of_group_velocity,sea_shoreline_water_wave~incoming,azimuth_angle_of_group_velocity,((sea-has-abstraction-shoreline)-is-location-of-(water-has-form-wave~incoming))
sea_shoreline_wave~incoming__azimuth_angle_of_left_normal_of_phase_velocity,sea_shoreline_water_wave~incoming__azimuth_angle_of_left_normal_of_phase_velocity,sea_shoreline_water_wave~incoming,azimuth_angle_of_left_normal_of_phase_velocity,((sea-has-abstraction-shoreline)-is-location-of-(water-has-form-wave~incoming))
sea_shoreline_wave~incoming__azimuth_angle_of_phase_velocity,sea_shoreline_water_wave~incoming__azimuth_angle_of_phase_velocity,sea_shoreline_water_wave~incoming,azimuth_angle_of_phase_velocity,((sea-has-abstraction-shoreline)-is-location-of-(water-has-form-wave~incoming))
sea_shoreline_wave~incoming~deepwater__ashton_et_al_approach_angle_asymmetry_parameter,sea_shoreline_deepwater-wave~incoming__ashton-et-al_approach_angle_asymmetry_parameter,sea_shoreline_deepwater-wave~incoming,ashton-et-al_approach_angle_asymmetry_parameter,((sea-has-abstraction-shoreline)-is-location-of-deepwater-wave~incoming)
sea_shoreline_wave~incoming~deepwater__ashton_et_al_approach_angle_highness_parameter,sea_shoreline_deepwater-wave~incoming__ashton-et-al_approach_angle_highness_parameter,sea_shoreline_deepwater-wave~incoming,ashton-et-al_approach_angle_highness_parameter,((sea-has-abstraction-shoreline)-is-location-of-deepwater-wave~incoming)
sea_shoreline_wave~incoming~deepwater__azimuth_angle_of_group_velocity,sea_shoreline_deepwater-wave~incoming__azimuth_angle_of_group_velocity,sea_shoreline_deepwater-wave~incoming,azimuth_angle_of_group_velocity,((sea-has-abstraction-shoreline)-is-location-of-deepwater-wave~incoming)
sea_shoreline_wave~incoming~deepwater__azimuth_angle_of_left_normal_of_phase_velocity,sea_shoreline_deepwater-wave~incoming__azimuth_angle_of_left_normal_of_phase_velocity,sea_shoreline_deepwater-wave~incoming,azimuth_angle_of_left_normal_of_phase_velocity,((sea-has-abstraction-shoreline)-is-location-of-deepwater-wave~incoming)
sea_shoreline_wave~incoming~deepwater__azimuth_angle_of_phase_velocity,sea_shoreline_deepwater-wave~incoming__azimuth_angle_of_phase_velocity,sea_shoreline_deepwater-wave~incoming,azimuth_angle_of_phase_velocity,((sea-has-abstraction-shoreline)-is-location-of-deepwater-wave~incoming)
sea_shoreline_wave~incoming~deepwater__height,sea_shoreline_deepwater-wave~incoming__height,sea_shoreline_deepwater-wave~incoming,height,((sea-has-abstraction-shoreline)-is-location-of-deepwater-wave~incoming)
sea_shoreline_wave~incoming~deepwater__period,sea_shoreline_deepwater-wave~incoming__period,sea_shoreline_deepwater-wave~incoming,period,((sea-has-abstraction-shoreline)-is-location-of-deepwater-wave~incoming)
sea_shoreline_wave~incoming~deepwater__significant_height,sea_shoreline_deepwater-wave~incoming__significant_height,sea_shoreline_deepwater-wave~incoming,significant_height,((sea-has-abstraction-shoreline)-is-location-of-deepwater-wave~incoming)
sea_surface__elevation,sea_surface__elevation,sea_surface,elevation,(sea-has-abstraction-surface)
sea_surface__latitude,sea_surface__latitude,sea_surface,latitude,(sea-has-abstraction-surface)
sea_surface__longitude,sea_surface__longitude,sea_surface,longitude,(sea-has-abstraction-surface)
sea_surface__slope,sea_surface__slope,sea_surface,slope,(sea-has-abstraction-surface)
sea_surface_air-vs-water__difference_of_temperature,sea_surface_air_sea_surface_water__difference_of_temperature,sea_surface_air_sea_surface_water,difference_of_temperature,(((sea-has-abstraction-surface)-is-location-of-air)-as-minuend-((sea-has-abstraction-surface)-contains-water)-as-subtrahend)
sea_surface_air__magnitude_of_shear_stress,sea_surface_air__magnitude_of_shear_stress,sea_surface_air,magnitude_of_shear_stress,((sea-has-abstraction-surface)-is-location-of-air)
sea_surface_air__pressure,sea_surface_air__pressure,sea_surface_air,pressure,((sea-has-abstraction-surface)-is-location-of-air)
sea_surface_air__reference_pressure,sea_surface_air__reference_pressure,sea_surface_air,reference_pressure,((sea-has-abstraction-surface)-is-location-of-air)
sea_surface_air__reference_temperature,sea_surface_air__reference_temperature,sea_surface_air,reference_temperature,((sea-has-abstraction-surface)-is-location-of-air)
sea_surface_air__temperature,sea_surface_air__temperature,sea_surface_air,temperature,((sea-has-abstraction-surface)-is-location-of-air)
sea_surface_air_carbon-dioxide__partial_pressure,sea_surface_air_carbon-dioxide__partial_pressure,sea_surface_air_carbon-dioxide,partial_pressure,((sea-has-abstraction-surface)-is-location-of-(air-as-medium-carbon-dioxide))
sea_surface_air_flow__magnitude_of_shear_velocity,sea_surface_air_flowing__magnitude_of_shear_velocity,sea_surface_air_flowing,magnitude_of_shear_velocity,((sea-has-abstraction-surface)-is-location-of-(air-undergoes-process-flowing))
sea_surface_air_flow__shear_speed,sea_surface_air_flowing__shear_speed,sea_surface_air_flowing,shear_speed,((sea-has-abstraction-surface)-is-location-of-(air-undergoes-process-flowing))
sea_surface_air_flow__speed,sea_surface_air_flowing__speed,sea_surface_air_flowing,speed,((sea-has-abstraction-surface)-is-location-of-(air-undergoes-process-flowing))
sea_surface_air_flow__x_component_of_shear_velocity,sea_surface_air_flowing__x_component_of_shear_velocity,sea_surface_air_flowing,x_component_of_shear_velocity,((sea-has-abstraction-surface)-is-location-of-(air-undergoes-process-flowing))
sea_surface_air_flow__x_component_of_velocity,sea_surface_air_flowing__x_component_of_velocity,sea_surface_air_flowing,x_component_of_velocity,((sea-has-abstraction-surface)-is-location-of-(air-undergoes-process-flowing))
sea_surface_air_flow__y_component_of_shear_velocity,sea_surface_air_flowing__y_component_of_shear_velocity,sea_surface_air_flowing,y_component_of_shear_velocity,((sea-has-abstraction-surface)-is-location-of-(air-undergoes-process-flowing))
sea_surface_air_flow__y_component_of_velocity,sea_surface_air_flowing__y_component_of_velocity,sea_surface_air_flowing,y_component_of_velocity,((sea-has-abstraction-surface)-is-location-of-(air-undergoes-process-flowing))
sea_surface_air_flow__z_component_of_velocity,sea_surface_air_flowing__z_component_of_velocity,sea_surface_air_flowing,z_component_of_velocity,((sea-has-abstraction-surface)-is-location-of-(air-undergoes-process-flowing))
sea_surface_air_water~vapor__partial_pressure,sea_surface_air_water~vapor__partial_pressure,sea_surface_air_water~vapor,partial_pressure,((sea-has-abstraction-surface)-is-location-of-(air-as-medium-water~vapor))
sea_surface_air_water~vapor__relative_saturation,sea_surface_air_water~vapor__relative_saturation,sea_surface_air_water~vapor,relative_saturation,((sea-has-abstraction-surface)-is-location-of-(air-as-medium-water~vapor))
sea_surface_radiation~incoming~shortwave__absorbed_energy_flux,sea_surface_radiation~incoming~shortwave~absorbed__energy_flux,sea_surface_radiation~incoming~shortwave~absorbed,energy_flux,((sea-has-abstraction-surface)-is-location-of-radiation~incoming~shortwave~absorbed)
sea_surface_radiation~incoming~shortwave__absorptance,sea_surface_radiation~incoming~shortwave_absorption__absorptance,sea_surface_radiation~incoming~shortwave_absorption,absorptance,((sea-has-abstraction-surface)-as-sink-radiation~incoming~shortwave-undergoes-process-absorption)
sea_surface_radiation~incoming~shortwave__energy_flux,sea_surface_radiation~incoming~shortwave__energy_flux,sea_surface_radiation~incoming~shortwave,energy_flux,((sea-has-abstraction-surface)-is-location-of-radiation~incoming~shortwave)
sea_surface_radiation~incoming~shortwave__reflectance,sea_surface_radiation~incoming~shortwave_reflection__reflectance,sea_surface_radiation~incoming~shortwave_reflection,reflectance,((sea-has-abstraction-surface)-as-source-radiation~incoming~shortwave-undergoes-process-reflection)
sea_surface_radiation~incoming~shortwave__reflected_energy_flux,sea_surface_radiation~incoming~shortwave~reflected__energy_flux,sea_surface_radiation~incoming~shortwave~reflected,energy_flux,((sea-has-abstraction-surface)-is-location-of-radiation~incoming~shortwave~reflected)
sea_surface_radiation~outgoing~longwave__energy_flux,sea_surface_radiation~outgoing~longwave__energy_flux,sea_surface_radiation~outgoing~longwave,energy_flux,((sea-has-abstraction-surface)-is-location-of-radiation~outgoing~longwave)
sea_surface_storm_water__surge_height,sea_surface_storm_water_surge__height,sea_surface_storm_water_surge,height,((sea-has-abstraction-surface)-contains-((storm-is-source-of-water)-undergoes-process-surge))
sea_surface_water__anomaly_of_geopotential_height,sea_surface_water__anomaly_of_geopotential_height,sea_surface_water,anomaly_of_geopotential_height,((sea-has-abstraction-surface)-contains-water)
sea_surface_water__anomaly_of_temperature,sea_surface_water__anomaly_of_temperature,sea_surface_water,anomaly_of_temperature,((sea-has-abstraction-surface)-contains-water)
sea_surface_water__evaporation_mass_flux,sea_surface_water_evaporation__mass_flux,sea_surface_water_evaporation,mass_flux,((sea-has-abstraction-surface)-as-source-water-undergoes-process-evaporation)
sea_surface_water__evaporation_volume_flux,sea_surface_water_evaporation__volume_flux,sea_surface_water_evaporation,volume_flux,((sea-has-abstraction-surface)-as-source-water-undergoes-process-evaporation)
sea_surface_water__geopotential_height,sea_surface_water__geopotential_height,sea_surface_water,geopotential_height,((sea-has-abstraction-surface)-contains-water)
sea_surface_water__mass-per-volume_density,sea_surface_water__mass-per-volume_density,sea_surface_water,mass-per-volume_density,((sea-has-abstraction-surface)-contains-water)
sea_surface_water__precipitation_leq-volume_flux,sea_surface_water_precipitation__leq_volume_flux,sea_surface_water_precipitation,leq_volume_flux,((sea-has-abstraction-surface)-is-location-of-(water-undergoes-process-precipitation))
sea_surface_water__precipitation_mass_flux,sea_surface_water_precipitation__mass_flux,sea_surface_water_precipitation,mass_flux,((sea-has-abstraction-surface)-is-location-of-(water-undergoes-process-precipitation))
sea_surface_water__salinity,sea_surface_water__salinity,sea_surface_water,salinity,((sea-has-abstraction-surface)-contains-water)
sea_surface_water__temperature,sea_surface_water__temperature,sea_surface_water,temperature,((sea-has-abstraction-surface)-contains-water)
sea_surface_water_carbon-dioxide__partial_pressure,sea_surface_water_carbon-dioxide__partial_pressure,sea_surface_water_carbon-dioxide,partial_pressure,((sea-has-abstraction-surface)-contains-(water-as-medium-carbon-dioxide))
sea_surface_water_heat~net~latent__energy_flux,sea_surface_water__net_latent_heat_energy_flux,sea_surface_water,net_latent_heat_energy_flux,((sea-has-abstraction-surface)-contains-water)
sea_surface_water_heat~net~sensible__energy_flux,sea_surface_water__net_sensible_heat_energy_flux,sea_surface_water,net_sensible_heat_energy_flux,((sea-has-abstraction-surface)-contains-water)
sea_surface_water_tide_constituents~all__amplitude,sea_surface_water_tide_constituents__amplitude,sea_surface_water_tide_constituents,amplitude,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituents))
sea_surface_water_tide_constituent~2mk3__amplitude,sea_surface_water_tide_constituent-2mk3__amplitude,sea_surface_water_tide_constituent-2mk3,amplitude,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-2mk3))
sea_surface_water_tide_constituent~2mk3__degrees-per-hour_speed,sea_surface_water_tide_constituent-2mk3__angular_speed,sea_surface_water_tide_constituent-2mk3,angular_speed,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-2mk3))
sea_surface_water_tide_constituent~2mk3__period,sea_surface_water_tide_constituent-2mk3__period,sea_surface_water_tide_constituent-2mk3,period,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-2mk3))
sea_surface_water_tide_constituent~2mk3__phase_angle,sea_surface_water_tide_constituent-2mk3__phase_angle,sea_surface_water_tide_constituent-2mk3,phase_angle,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-2mk3))
sea_surface_water_tide_constituent~2mk3_amphidromic-points__latitude,sea_surface_water_tide_constituent-2mk3_amphidromic-points__latitude,sea_surface_water_tide_constituent-2mk3_amphidromic-points,latitude,((sea-has-abstraction-surface)-contains-(((water-makes-up-tide)-has-part-constituent-2mk3)-has-abstraction-amphidromic-points))
sea_surface_water_tide_constituent~2mk3_amphidromic-points__longitude,sea_surface_water_tide_constituent-2mk3_amphidromic-points__longitude,sea_surface_water_tide_constituent-2mk3_amphidromic-points,longitude,((sea-has-abstraction-surface)-contains-(((water-makes-up-tide)-has-part-constituent-2mk3)-has-abstraction-amphidromic-points))
sea_surface_water_tide_constituent~2n2__amplitude,sea_surface_water_tide_constituent-2n2__amplitude,sea_surface_water_tide_constituent-2n2,amplitude,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-2n2))
sea_surface_water_tide_constituent~2n2__degrees-per-hour_speed,sea_surface_water_tide_constituent-2n2__angular_speed,sea_surface_water_tide_constituent-2n2,angular_speed,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-2n2))
sea_surface_water_tide_constituent~2n2__period,sea_surface_water_tide_constituent-2n2__period,sea_surface_water_tide_constituent-2n2,period,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-2n2))
sea_surface_water_tide_constituent~2n2__phase_angle,sea_surface_water_tide_constituent-2n2__phase_angle,sea_surface_water_tide_constituent-2n2,phase_angle,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-2n2))
sea_surface_water_tide_constituent~2q1__amplitude,sea_surface_water_tide_constituent-2q1__amplitude,sea_surface_water_tide_constituent-2q1,amplitude,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-2q1))
sea_surface_water_tide_constituent~2q1__degrees-per-hour_speed,sea_surface_water_tide_constituent-2q1__angular_speed,sea_surface_water_tide_constituent-2q1,angular_speed,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-2q1))
sea_surface_water_tide_constituent~2q1__period,sea_surface_water_tide_constituent-2q1__period,sea_surface_water_tide_constituent-2q1,period,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-2q1))
sea_surface_water_tide_constituent~2q1__phase_angle,sea_surface_water_tide_constituent-2q1__phase_angle,sea_surface_water_tide_constituent-2q1,phase_angle,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-2q1))
sea_surface_water_tide_constituent~2sm2__amplitude,sea_surface_water_tide_constituent-2sm2__amplitude,sea_surface_water_tide_constituent-2sm2,amplitude,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-2sm2))
sea_surface_water_tide_constituent~2sm2__degrees-per-hour_speed,sea_surface_water_tide_constituent-2sm2__angular_speed,sea_surface_water_tide_constituent-2sm2,angular_speed,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-2sm2))
sea_surface_water_tide_constituent~2sm2__period,sea_surface_water_tide_constituent-2sm2__period,sea_surface_water_tide_constituent-2sm2,period,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-2sm2))
sea_surface_water_tide_constituent~2sm2__phase_angle,sea_surface_water_tide_constituent-2sm2__phase_angle,sea_surface_water_tide_constituent-2sm2,phase_angle,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-2sm2))
sea_surface_water_tide_constituent~j1__amplitude,sea_surface_water_tide_constituent-j1__amplitude,sea_surface_water_tide_constituent-j1,amplitude,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-j1))
sea_surface_water_tide_constituent~j1__degrees-per-hour_speed,sea_surface_water_tide_constituent-j1__angular_speed,sea_surface_water_tide_constituent-j1,angular_speed,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-j1))
sea_surface_water_tide_constituent~j1__period,sea_surface_water_tide_constituent-j1__period,sea_surface_water_tide_constituent-j1,period,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-j1))
sea_surface_water_tide_constituent~j1__phase_angle,sea_surface_water_tide_constituent-j1__phase_angle,sea_surface_water_tide_constituent-j1,phase_angle,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-j1))
sea_surface_water_tide_constituent~k1__amplitude,sea_surface_water_tide_constituent-k1__amplitude,sea_surface_water_tide_constituent-k1,amplitude,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-k1))
sea_surface_water_tide_constituent~k1__degrees-per-hour_speed,sea_surface_water_tide_constituent-k1__angular_speed,sea_surface_water_tide_constituent-k1,angular_speed,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-k1))
sea_surface_water_tide_constituent~k1__period,sea_surface_water_tide_constituent-k1__period,sea_surface_water_tide_constituent-k1,period,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-k1))
sea_surface_water_tide_constituent~k1__phase_angle,sea_surface_water_tide_constituent-k1__phase_angle,sea_surface_water_tide_constituent-k1,phase_angle,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-k1))
sea_surface_water_tide_constituent~k2__amplitude,sea_surface_water_tide_constituent-k2__amplitude,sea_surface_water_tide_constituent-k2,amplitude,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-k2))
sea_surface_water_tide_constituent~k2__degrees-per-hour_speed,sea_surface_water_tide_constituent-k2__angular_speed,sea_surface_water_tide_constituent-k2,angular_speed,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-k2))
sea_surface_water_tide_constituent~k2__period,sea_surface_water_tide_constituent-k2__period,sea_surface_water_tide_constituent-k2,period,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-k2))
sea_surface_water_tide_constituent~k2__phase_angle,sea_surface_water_tide_constituent-k2__phase_angle,sea_surface_water_tide_constituent-k2,phase_angle,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-k2))
sea_surface_water_tide_constituent~l2__amplitude,sea_surface_water_tide_constituent-l2__amplitude,sea_surface_water_tide_constituent-l2,amplitude,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-l2))
sea_surface_water_tide_constituent~l2__degrees-per-hour_speed,sea_surface_water_tide_constituent-l2__angular_speed,sea_surface_water_tide_constituent-l2,angular_speed,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-l2))
sea_surface_water_tide_constituent~l2__period,sea_surface_water_tide_constituent-l2__period,sea_surface_water_tide_constituent-l2,period,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-l2))
sea_surface_water_tide_constituent~l2__phase_angle,sea_surface_water_tide_constituent-l2__phase_angle,sea_surface_water_tide_constituent-l2,phase_angle,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-l2))
sea_surface_water_tide_constituent~lam2__amplitude,sea_surface_water_tide_constituent-lam2__amplitude,sea_surface_water_tide_constituent-lam2,amplitude,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-lam2))
sea_surface_water_tide_constituent~lam2__degrees-per-hour_speed,sea_surface_water_tide_constituent-lam2__angular_speed,sea_surface_water_tide_constituent-lam2,angular_speed,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-lam2))
sea_surface_water_tide_constituent~lam2__period,sea_surface_water_tide_constituent-lam2__period,sea_surface_water_tide_constituent-lam2,period,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-lam2))
sea_surface_water_tide_constituent~lam2__phase_angle,sea_surface_water_tide_constituent-lam2__phase_angle,sea_surface_water_tide_constituent-lam2,phase_angle,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-lam2))
sea_surface_water_tide_constituent~m1__amplitude,sea_surface_water_tide_constituent-m1__amplitude,sea_surface_water_tide_constituent-m1,amplitude,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-m1))
sea_surface_water_tide_constituent~m1__degrees-per-hour_speed,sea_surface_water_tide_constituent-m1__angular_speed,sea_surface_water_tide_constituent-m1,angular_speed,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-m1))
sea_surface_water_tide_constituent~m1__period,sea_surface_water_tide_constituent-m1__period,sea_surface_water_tide_constituent-m1,period,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-m1))
sea_surface_water_tide_constituent~m1__phase_angle,sea_surface_water_tide_constituent-m1__phase_angle,sea_surface_water_tide_constituent-m1,phase_angle,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-m1))
sea_surface_water_tide_constituent~m2__amplitude,sea_surface_water_tide_constituent-m2__amplitude,sea_surface_water_tide_constituent-m2,amplitude,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-m2))
sea_surface_water_tide_constituent~m2__degrees-per-hour_speed,sea_surface_water_tide_constituent-m2__angular_speed,sea_surface_water_tide_constituent-m2,angular_speed,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-m2))
sea_surface_water_tide_constituent~m2__period,sea_surface_water_tide_constituent-m2__period,sea_surface_water_tide_constituent-m2,period,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-m2))
sea_surface_water_tide_constituent~m2__phase_angle,sea_surface_water_tide_constituent-m2__phase_angle,sea_surface_water_tide_constituent-m2,phase_angle,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-m2))
sea_surface_water_tide_constituent~m3__amplitude,sea_surface_water_tide_constituent-m3__amplitude,sea_surface_water_tide_constituent-m3,amplitude,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-m3))
sea_surface_water_tide_constituent~m3__degrees-per-hour_speed,sea_surface_water_tide_constituent-m3__angular_speed,sea_surface_water_tide_constituent-m3,angular_speed,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-m3))
sea_surface_water_tide_constituent~m3__period,sea_surface_water_tide_constituent-m3__period,sea_surface_water_tide_constituent-m3,period,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-m3))
sea_surface_water_tide_constituent~m3__phase_angle,sea_surface_water_tide_constituent-m3__phase_angle,sea_surface_water_tide_constituent-m3,phase_angle,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-m3))
sea_surface_water_tide_constituent~m4__amplitude,sea_surface_water_tide_constituent-m4__amplitude,sea_surface_water_tide_constituent-m4,amplitude,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-m4))
sea_surface_water_tide_constituent~m4__degrees-per-hour_speed,sea_surface_water_tide_constituent-m4__angular_speed,sea_surface_water_tide_constituent-m4,angular_speed,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-m4))
sea_surface_water_tide_constituent~m4__period,sea_surface_water_tide_constituent-m4__period,sea_surface_water_tide_constituent-m4,period,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-m4))
sea_surface_water_tide_constituent~m4__phase_angle,sea_surface_water_tide_constituent-m4__phase_angle,sea_surface_water_tide_constituent-m4,phase_angle,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-m4))
sea_surface_water_tide_constituent~m6__amplitude,sea_surface_water_tide_constituent-m6__amplitude,sea_surface_water_tide_constituent-m6,amplitude,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-m6))
sea_surface_water_tide_constituent~m6__degrees-per-hour_speed,sea_surface_water_tide_constituent-m6__angular_speed,sea_surface_water_tide_constituent-m6,angular_speed,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-m6))
sea_surface_water_tide_constituent~m6__period,sea_surface_water_tide_constituent-m6__period,sea_surface_water_tide_constituent-m6,period,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-m6))
sea_surface_water_tide_constituent~m6__phase_angle,sea_surface_water_tide_constituent-m6__phase_angle,sea_surface_water_tide_constituent-m6,phase_angle,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-m6))
sea_surface_water_tide_constituent~m8__amplitude,sea_surface_water_tide_constituent-m8__amplitude,sea_surface_water_tide_constituent-m8,amplitude,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-m8))
