encoded_name,label_name,has-source-phenomenon,has-primary-participant-phenomenon,has-containing-phenomenon,is-modeled-by,undergoes-process,has-in-participant-phenomenon,has-medium-participant-phenomenon,has-sink-participant-phenomenon,has-source-participant-phenomenon,has-abstraction,has-phenomenon,has-part,has-location,is-observed-by,has-form,measured-below,has-matter,is-part-of-containing-phenomenon,has-denominator-participant-phenomenon,has-numerator-participant-phenomenon,is-expressed-as,has-containing-medium-phenomenon,has-trajectory,measured-at,has-adjacent-participant-phenomenon,measured-above,drives,has-primary-participant-phenomenon2,has-role,has-participating-primary-phenomenon,has-perspective-participant-phenomenon,surrounds,measured-wrt,contains-matter,has-sink-phenomenon,referenced-with-property,reference-for-computing,orbits-around,has-first-participant-phenomenon,has-second-participant-phenomenon,has-model-location,has-domain,has-location-of-origin,has-subtrahend-participant-phenomenon,has-minuend-participant-phenomenon,has-primary-matter,measured-to,measured-from,participates-in,has-participating-medium-phenomenon,undergoes-process2,has-part2,measured-since,measured-along,has-phenomenon2,has-matter2,has-role2,has-process,has-process2,has-form2
channel-contains-(water-contains-(oxygen~photosynthetic-undergoes-process-production)),channel_water_oxygen~photosynthetic_production,,water-contains-(oxygen~photosynthetic-undergoes-process-production),channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
water-contains-(oxygen~photosynthetic-undergoes-process-production),water_oxygen~photosynthetic_production,,oxygen~photosynthetic-undergoes-process-production,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oxygen~photosynthetic-undergoes-process-production,oxygen~photosynthetic_production,,oxygen~photosynthetic,,,production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
channel-contains-(water-as-medium-(sediment-has-form-grain)-undergoes-process-settling),channel_water_sediment_grain_settling,,water-as-medium-(sediment-has-form-grain)-undergoes-process-settling,channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
water-as-medium-(sediment-has-form-grain)-undergoes-process-settling,water_sediment_grain_settling,,sediment-has-form-grain,,,settling,,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
channel-contains-(water-as-medium-sediment~bedload),channel_water_sediment~bedload,,water-as-medium-sediment~bedload,channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
water-as-medium-sediment~bedload,water_sediment~bedload,,sediment~bedload,,,,,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
channel-contains-(water-contains-(sediment~bedload-undergoes-process-flowing)),channel_water_sediment~bedload_flowing,,water-contains-(sediment~bedload-undergoes-process-flowing),channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
water-contains-(sediment~bedload-undergoes-process-flowing),water_sediment~bedload_flowing,,sediment~bedload-undergoes-process-flowing,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sediment~bedload-undergoes-process-flowing,sediment~bedload_flowing,,sediment~bedload,,,flowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
