entity_label,entity_class,plural,tagged_variables
4-chlorobenzylmethylsulfone,matter,,
4-chlorophenyl-phenyl-ether,matter,,
4-chlorophenylurea,matter,,
4-chlorotoluene,matter,,
4-cumylphenol,matter,,
4-dimethylaminoazobenzene,matter,,
4-hydroxy-methyl-benzoate,matter,,
4-isopropyltoluene,matter,,
4-n-octylphenol,matter,,
4-nitroaniline,matter,,
4-nitrophenol,matter,,
4-nitroquinoline-1-oxide,matter,,
4-nitrotoluene,matter,,
4-nonylphenol-diethoxylate,matter,,
4-nonylphenol-monoethoxylate,matter,,
4-nonylphenol-tetraethoxylate,matter,,
4-tert-octylphenol,matter,,
"4,4'-dibromooctafluorobiphenyl",matter,,
"4,4'-dichlorobenzophenone",matter,,
"4,6-dinitro-2-methylphenol",matter,,
40-to-100cm,attribute,,"land_surface~40-to-100cm-below_soil_water__volume_fraction, land_surface~40-to-100cm-below_soil__temperature, land_surface~40-to-100cm-below_soil_water__mass-per-area_density"
400-to-600nm,attribute,,
4h-cyclopenta[def]phenanthrene,matter,,
5-aminosalicylic-acid,matter,,
5-hydroxydicamba,matter,,
5-methyl-1h-benzotriazole,matter,,
5-nitro-o-toluidine,matter,,
50-percent_attenuation_depth,property,,
"7,12-dimethylbenzo[a]anthracene",matter,,
780-to-900nm,attribute,,
"9,10-anthraquinone",matter,,
99-percent_attenuation_depth,property,,
9h-fluorene,matter,,
abandonment,process,,
abatement,process,,
abbe_number,property,,
aberration,process,,
ability,property,,
abiotic,attribute,,
ablabesmyia,attribute,,
ablabesmyia-janta,attribute,,
ablabesmyia-mallochi,attribute,,
ablation,process,,glacier_ice_ablation__length-per-time_rate
ablation-zone,phenomenon,,"glacier_ablation-zone__area, glacier_ablation-zone__area_fraction"
abrasion,process,,
absolute_permeability,property,,soil__absolute_permeability
absolute_permittivity,property,,"earth-crust_material__absolute_permittivity, earth-mantle_material__absolute_permittivity"
absolute_salinity,property,,
absorbance,property,,
absorbed,attribute,,"atmosphere_aerosol_radiation~incoming~shortwave~absorbed__energy_flux, atmosphere_clouds_radiation~incoming~shortwave~absorbed__energy_flux, atmosphere_radiation~incoming~shortwave~absorbed__energy_flux, land_surface_radiation~incoming~longwave~absorbed__energy_flux, land_surface_radiation~incoming~shortwave~absorbed__energy_flux, land_surface_radiation~incoming~absorbed__energy_flux, sea_bottom_radiation~incoming~longwave~absorbed__energy_flux, sea_bottom_radiation~incoming~shortwave~absorbed__energy_flux, sea_bottom_radiation~incoming~absorbed__energy_flux, sea_ice_radiation~incoming~longwave~absorbed__energy_flux, sea_ice_radiation~incoming~shortwave~absorbed__energy_flux, sea_ice_radiation~incoming~absorbed__energy_flux, sea_surface_radiation~incoming~shortwave~absorbed__energy_flux, snowpack_radiation~incoming~longwave~absorbed__energy_flux, snowpack_radiation~incoming~shortwave~absorbed__energy_flux, snowpack_radiation~incoming~absorbed__energy_flux"
absorptance,property,,"atmosphere_aerosol_radiation~incoming~shortwave_absorption__absorptance, atmosphere_air_radiation~incoming~longwave_absorption__absorptance, atmosphere_clouds_radiation~incoming~shortwave_absorption__absorptance, atmosphere_radiation~incoming~shortwave_absorption__absorptance, land_surface_radiation~incoming~longwave_absorption__absorptance, land_surface_radiation~incoming~shortwave_absorption__absorptance, land_surface_radiation~incoming_absorption__absorptance, sea_bottom_radiation~incoming~longwave_absorption__absorptance, sea_bottom_radiation~incoming~shortwave_absorption__absorptance, sea_bottom_radiation~incoming_absorption__absorptance, sea_ice_radiation~incoming~longwave_absorption__absorptance, sea_ice_radiation~incoming~shortwave_absorption__absorptance, sea_ice_radiation~incoming_absorption__absorptance, sea_surface_radiation~incoming~shortwave_absorption__absorptance, snowpack_radiation~incoming~longwave_absorption__absorptance, snowpack_radiation~incoming~shortwave_absorption__absorptance, snowpack_radiation~incoming_absorption__absorptance"
absorption,process,,"atmosphere_aerosol_radiation~incoming~shortwave_absorption__absorptance, atmosphere_air_radiation~incoming~longwave_absorption__absorptance, atmosphere_clouds_radiation~incoming~shortwave_absorption__absorptance, atmosphere_radiation~incoming~shortwave_absorption__absorptance, land_surface_radiation~incoming~longwave_absorption__absorptance, land_surface_radiation~incoming~shortwave_absorption__absorptance, land_surface_radiation~incoming_absorption__absorptance, sea_bottom_radiation~incoming~longwave_absorption__absorptance, sea_bottom_radiation~incoming~shortwave_absorption__absorptance, sea_bottom_radiation~incoming_absorption__absorptance, sea_ice_radiation~incoming~longwave_absorption__absorptance, sea_ice_radiation~incoming~shortwave_absorption__absorptance, sea_ice_radiation~incoming_absorption__absorptance, sea_surface_radiation~incoming~shortwave_absorption__absorptance, snowpack_radiation~incoming~longwave_absorption__absorptance, snowpack_radiation~incoming~shortwave_absorption__absorptance, snowpack_radiation~incoming_absorption__absorptance"
absorptivity,property,,
abstraction,process,,
acamptocladius,attribute,,
acceleration,process,,"automobile_acceleration~0-to-60mph__duration, automobile_acceleration__acceleration, projectile_acceleration__acceleration, projectile_acceleration__x_component_of_acceleration, projectile_acceleration__y_component_of_acceleration, projectile_acceleration__z_component_of_acceleration, projectile_acceleration_trajectory_origin__x_component_of_acceleration, projectile_acceleration_trajectory_origin__y_component_of_acceleration, projectile_acceleration_trajectory_origin__z_component_of_acceleration, projectile_acceleration_trajectory_target__x_component_of_acceleration, projectile_acceleration_trajectory_target__y_component_of_acceleration, projectile_acceleration_trajectory_target__z_component_of_acceleration, earth_interior_particle_motion_acceleration__acceleration"
acceleration,property,,"automobile_acceleration__acceleration, projectile_acceleration__acceleration, projectile_acceleration__x_component_of_acceleration, projectile_acceleration__y_component_of_acceleration, projectile_acceleration__z_component_of_acceleration, projectile_acceleration_trajectory_origin__x_component_of_acceleration, projectile_acceleration_trajectory_origin__y_component_of_acceleration, projectile_acceleration_trajectory_origin__z_component_of_acceleration, projectile_acceleration_trajectory_target__x_component_of_acceleration, projectile_acceleration_trajectory_target__y_component_of_acceleration, projectile_acceleration_trajectory_target__z_component_of_acceleration, earth_interior_particle_motion_acceleration__acceleration"
acceptance,process,,
acclimatization,process,,
accommodation,process,,
accountability,property,,
accretion,process,,
accumulation,process,,"land_surface_snow_accumulation__time_integral_of_volume_flux, glacier_ice_accumulation__length-per-time_rate, biomass_nitrogen_accumulation_at-harvest__mass-per-area_density, crop_root_nitrogen_accumulation_at-harvest__mass-per-area_density, land_surface_snow_accumulation__time_integral_of_mass_flux"
accumulation-zone,phenomenon,,"glacier_accumulation-zone__area, glacier_accumulation-zone__area_fraction"
acenaphthene,matter,,
acenaphthylene,matter,,
acentropus,attribute,,
acephate,matter,,
acetaldehyde,matter,,
acetaminophen,matter,,
acetazolamide,matter,,
acetic-acid,matter,,atmosphere_air_column_acetic-acid__mass-per-area_density
acetochlor,matter,,
acetohexamide,matter,,
acetone,matter,,
acetonitrile,matter,,atmosphere_air_column_acetonitrile__mass-per-area_density
acetophenone,matter,,
acetyl-cedrene,matter,,
acid,matter,acids,
acid-neutralizing_amount-per-volume_capacity,property,,
