original_name,variable_name,object_name,quantity_name,phenomena,processes,matter,roles,forms,properties,operations,propertytypes,propertyroles,propertyquantifications,trajectories,domains,attributes,abstractions,models,directions,parts,reference,object_pattern,quantity_pattern
soil__residual_porosity,soil__residual_porosity,soil,residual_porosity,soil,,,,,,,,,,,,,,,,,,PHENOMENON,residual_porosity
soil_macropores_below-land-surface__depth,soil_macropores_below-land_surface__depth,soil_macropores_below-land_surface,depth,land,,soil,,macropores,depth,,,,,,,,surface,,,,,MATTER_FORM_below-PHENOMENON_ABSTRACTION,PROPERTY
soil_macropores_water__vertical_hydraulic_conductivity,soil_macropores_water__vertical_component_of_hydraulic_conductivity,soil_macropores_water,vertical_component_of_hydraulic_conductivity,,,"water, soil",,macropores,hydraulic_conductivity,vertical_component,,,,,,,,,,,,MATTER_FORM_MATTER,OPERATION_of_PROPERTY
soil_layer~top__thickness,soil_layer~topmost__thickness,soil_layer~topmost,thickness,,,soil,,,thickness,,,,,,,topmost,,,,layer,,MATTER_PART~ATTRIBUTE,PROPERTY
soil_layer~top~infiltration__thickness,soil_layer~topmost_water_infiltration__thickness,soil_layer~topmost_water_infiltration,thickness,,infiltration,"water, soil",,,thickness,,,,,,,topmost,,,,layer,,MATTER_PART~ATTRIBUTE_MATTER_PROCESS,PROPERTY
soil_water__vertical_saturated_hydraulic_conductivity,soil~saturated_water__vertical_component_of_hydraulic_conductivity,soil~saturated_water,vertical_component_of_hydraulic_conductivity,,,"water, soil",,,hydraulic_conductivity,vertical_component,,,,,,saturated,,,,,,MATTER~ATTRIBUTE_MATTER,OPERATION_of_PROPERTY
water__volume_flow_rate,water_flowing__volume_rate,water_flowing,volume_rate,,flowing,water,,,volume_rate,,,,,,,,,,,,,MATTER_PROCESS,PROPERTY
water_below-land-surface__depth,water_below-land_surface__depth,water_below-land_surface,depth,land,,water,,,depth,,,,,,,,surface,,,,,MATTER_below-PHENOMENON_ABSTRACTION,PROPERTY
aquifer~left_channel~stream_reach_water__baseflow_volume_flux,aquifer~left_stream_channel_reach_water_baseflow__volume_flux,aquifer~left_stream_channel_reach_water_baseflow,volume_flux,"aquifer, stream, reach",baseflow,water,,channel,volume_flux,,,,,,,left,,,,,,PHENOMENON~ATTRIBUTE_PHENOMENON_FORM_PHENOMENON_MATTER_PROCESS,PROPERTY
aquifer~right_channel~stream_reach_water__baseflow_volume_flux,aquifer~right_stream_channel_reach_water_baseflow__volume_flux,aquifer~right_stream_channel_reach_water_baseflow,volume_flux,"aquifer, stream, reach",baseflow,water,,channel,volume_flux,,,,,,,right,,,,,,PHENOMENON~ATTRIBUTE_PHENOMENON_FORM_PHENOMENON_MATTER_PROCESS,PROPERTY
channel~river_bed_channel~stream_reach_water__leakage_volume_flux,river_channel_bed_stream_channel_reach_water_leakage__volume_flux,river_channel_bed_stream_channel_reach_water_leakage,volume_flux,"stream, reach, river",leakage,water,,channel,volume_flux,,,,,,,,,,,bed,,PHENOMENON_FORM_PART_PHENOMENON_FORM_PHENOMENON_MATTER_PROCESS,PROPERTY
channel~river_bed_water~outgoing__lateral_volume_flux,river_channel_bed_water~outgoing__lateral_component_of_volume_flux,river_channel_bed_water~outgoing,lateral_component_of_volume_flux,river,,water,,channel,volume_flux,lateral_component,,,,,,,,,outgoing,bed,,PHENOMENON_FORM_PART_MATTER~DIRECTION,OPERATION_of_PROPERTY
channel~river_bed_water~incoming__lateral_volume_flux,river_channel_bed_water~incoming__lateral_component_of_volume_flux,river_channel_bed_water~incoming,lateral_component_of_volume_flux,river,,water,,channel,volume_flux,lateral_component,,,,,,,,,incoming,bed,,PHENOMENON_FORM_PART_MATTER~DIRECTION,OPERATION_of_PROPERTY
channel~river_bed_water__volume-per-area_storage_capacity,river_channel_bed_water__volume-per-area_storage_capacity,river_channel_bed_water,volume-per-area_storage_capacity,river,,water,,channel,volume-per-area_storage_capacity,,,,,,,,,,,bed,,PHENOMENON_FORM_PART_MATTER,PROPERTY
