original_name,variable_name,object_name,quantity_name,phenomena,processes,matter,roles,forms,properties,operations,propertytypes,propertyroles,propertyquantifications,trajectories,domains,attributes,abstractions,models,directions,parts,reference,object_pattern,quantity_pattern
sea_surface_water_tide_constituent~m3__phase_angle,sea_surface_water_tide_constituent-m3__phase_angle,sea_surface_water_tide_constituent-m3,phase_angle,"tide, sea",,water,,,phase_angle,,,,,,,,surface,,,constituent-m3,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~m4__amplitude,sea_surface_water_tide_constituent-m4__amplitude,sea_surface_water_tide_constituent-m4,amplitude,"tide, sea",,water,,,amplitude,,,,,,,,surface,,,constituent-m4,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~m4__degrees-per-hour_speed,sea_surface_water_tide_constituent-m4__angular_speed,sea_surface_water_tide_constituent-m4,angular_speed,"tide, sea",,water,,,angular_speed,,,,,,,,surface,,,constituent-m4,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~m4__period,sea_surface_water_tide_constituent-m4__period,sea_surface_water_tide_constituent-m4,period,"tide, sea",,water,,,period,,,,,,,,surface,,,constituent-m4,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~m4__phase_angle,sea_surface_water_tide_constituent-m4__phase_angle,sea_surface_water_tide_constituent-m4,phase_angle,"tide, sea",,water,,,phase_angle,,,,,,,,surface,,,constituent-m4,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~m6__amplitude,sea_surface_water_tide_constituent-m6__amplitude,sea_surface_water_tide_constituent-m6,amplitude,"tide, sea",,water,,,amplitude,,,,,,,,surface,,,constituent-m6,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~m6__degrees-per-hour_speed,sea_surface_water_tide_constituent-m6__angular_speed,sea_surface_water_tide_constituent-m6,angular_speed,"tide, sea",,water,,,angular_speed,,,,,,,,surface,,,constituent-m6,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~m6__period,sea_surface_water_tide_constituent-m6__period,sea_surface_water_tide_constituent-m6,period,"tide, sea",,water,,,period,,,,,,,,surface,,,constituent-m6,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~m6__phase_angle,sea_surface_water_tide_constituent-m6__phase_angle,sea_surface_water_tide_constituent-m6,phase_angle,"tide, sea",,water,,,phase_angle,,,,,,,,surface,,,constituent-m6,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~m8__amplitude,sea_surface_water_tide_constituent-m8__amplitude,sea_surface_water_tide_constituent-m8,amplitude,"tide, sea",,water,,,amplitude,,,,,,,,surface,,,constituent-m8,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~m8__degrees-per-hour_speed,sea_surface_water_tide_constituent-m8__angular_speed,sea_surface_water_tide_constituent-m8,angular_speed,"tide, sea",,water,,,angular_speed,,,,,,,,surface,,,constituent-m8,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~m8__period,sea_surface_water_tide_constituent-m8__period,sea_surface_water_tide_constituent-m8,period,"tide, sea",,water,,,period,,,,,,,,surface,,,constituent-m8,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~m8__phase_angle,sea_surface_water_tide_constituent-m8__phase_angle,sea_surface_water_tide_constituent-m8,phase_angle,"tide, sea",,water,,,phase_angle,,,,,,,,surface,,,constituent-m8,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~mf__amplitude,sea_surface_water_tide_constituent-mf__amplitude,sea_surface_water_tide_constituent-mf,amplitude,"tide, sea",,water,,,amplitude,,,,,,,,surface,,,constituent-mf,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~mf__degrees-per-hour_speed,sea_surface_water_tide_constituent-mf__angular_speed,sea_surface_water_tide_constituent-mf,angular_speed,"tide, sea",,water,,,angular_speed,,,,,,,,surface,,,constituent-mf,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~mf__period,sea_surface_water_tide_constituent-mf__period,sea_surface_water_tide_constituent-mf,period,"tide, sea",,water,,,period,,,,,,,,surface,,,constituent-mf,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~mf__phase_angle,sea_surface_water_tide_constituent-mf__phase_angle,sea_surface_water_tide_constituent-mf,phase_angle,"tide, sea",,water,,,phase_angle,,,,,,,,surface,,,constituent-mf,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~mk3__amplitude,sea_surface_water_tide_constituent-mk3__amplitude,sea_surface_water_tide_constituent-mk3,amplitude,"tide, sea",,water,,,amplitude,,,,,,,,surface,,,constituent-mk3,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~mk3__degrees-per-hour_speed,sea_surface_water_tide_constituent-mk3__angular_speed,sea_surface_water_tide_constituent-mk3,angular_speed,"tide, sea",,water,,,angular_speed,,,,,,,,surface,,,constituent-mk3,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~mk3__period,sea_surface_water_tide_constituent-mk3__period,sea_surface_water_tide_constituent-mk3,period,"tide, sea",,water,,,period,,,,,,,,surface,,,constituent-mk3,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~mk3__phase_angle,sea_surface_water_tide_constituent-mk3__phase_angle,sea_surface_water_tide_constituent-mk3,phase_angle,"tide, sea",,water,,,phase_angle,,,,,,,,surface,,,constituent-mk3,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~mm__amplitude,sea_surface_water_tide_constituent-mm__amplitude,sea_surface_water_tide_constituent-mm,amplitude,"tide, sea",,water,,,amplitude,,,,,,,,surface,,,constituent-mm,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~mm__degrees-per-hour_speed,sea_surface_water_tide_constituent-mm__angular_speed,sea_surface_water_tide_constituent-mm,angular_speed,"tide, sea",,water,,,angular_speed,,,,,,,,surface,,,constituent-mm,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~mm__period,sea_surface_water_tide_constituent-mm__period,sea_surface_water_tide_constituent-mm,period,"tide, sea",,water,,,period,,,,,,,,surface,,,constituent-mm,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~mm__phase_angle,sea_surface_water_tide_constituent-mm__phase_angle,sea_surface_water_tide_constituent-mm,phase_angle,"tide, sea",,water,,,phase_angle,,,,,,,,surface,,,constituent-mm,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~mn4__amplitude,sea_surface_water_tide_constituent-mn4__amplitude,sea_surface_water_tide_constituent-mn4,amplitude,"tide, sea",,water,,,amplitude,,,,,,,,surface,,,constituent-mn4,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~mn4__degrees-per-hour_speed,sea_surface_water_tide_constituent-mn4__angular_speed,sea_surface_water_tide_constituent-mn4,angular_speed,"tide, sea",,water,,,angular_speed,,,,,,,,surface,,,constituent-mn4,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~mn4__period,sea_surface_water_tide_constituent-mn4__period,sea_surface_water_tide_constituent-mn4,period,"tide, sea",,water,,,period,,,,,,,,surface,,,constituent-mn4,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~mn4__phase_angle,sea_surface_water_tide_constituent-mn4__phase_angle,sea_surface_water_tide_constituent-mn4,phase_angle,"tide, sea",,water,,,phase_angle,,,,,,,,surface,,,constituent-mn4,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~ms4__amplitude,sea_surface_water_tide_constituent-ms4__amplitude,sea_surface_water_tide_constituent-ms4,amplitude,"tide, sea",,water,,,amplitude,,,,,,,,surface,,,constituent-ms4,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~ms4__degrees-per-hour_speed,sea_surface_water_tide_constituent-ms4__angular_speed,sea_surface_water_tide_constituent-ms4,angular_speed,"tide, sea",,water,,,angular_speed,,,,,,,,surface,,,constituent-ms4,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~ms4__period,sea_surface_water_tide_constituent-ms4__period,sea_surface_water_tide_constituent-ms4,period,"tide, sea",,water,,,period,,,,,,,,surface,,,constituent-ms4,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~ms4__phase_angle,sea_surface_water_tide_constituent-ms4__phase_angle,sea_surface_water_tide_constituent-ms4,phase_angle,"tide, sea",,water,,,phase_angle,,,,,,,,surface,,,constituent-ms4,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~msf__amplitude,sea_surface_water_tide_constituent-msf__amplitude,sea_surface_water_tide_constituent-msf,amplitude,"tide, sea",,water,,,amplitude,,,,,,,,surface,,,constituent-msf,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~msf__degrees-per-hour_speed,sea_surface_water_tide_constituent-msf__angular_speed,sea_surface_water_tide_constituent-msf,angular_speed,"tide, sea",,water,,,angular_speed,,,,,,,,surface,,,constituent-msf,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~msf__period,sea_surface_water_tide_constituent-msf__period,sea_surface_water_tide_constituent-msf,period,"tide, sea",,water,,,period,,,,,,,,surface,,,constituent-msf,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~msf__phase_angle,sea_surface_water_tide_constituent-msf__phase_angle,sea_surface_water_tide_constituent-msf,phase_angle,"tide, sea",,water,,,phase_angle,,,,,,,,surface,,,constituent-msf,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~mu2__amplitude,sea_surface_water_tide_constituent-mu2__amplitude,sea_surface_water_tide_constituent-mu2,amplitude,"tide, sea",,water,,,amplitude,,,,,,,,surface,,,constituent-mu2,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~mu2__degrees-per-hour_speed,sea_surface_water_tide_constituent-mu2__angular_speed,sea_surface_water_tide_constituent-mu2,angular_speed,"tide, sea",,water,,,angular_speed,,,,,,,,surface,,,constituent-mu2,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~mu2__period,sea_surface_water_tide_constituent-mu2__period,sea_surface_water_tide_constituent-mu2,period,"tide, sea",,water,,,period,,,,,,,,surface,,,constituent-mu2,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~mu2__phase_angle,sea_surface_water_tide_constituent-mu2__phase_angle,sea_surface_water_tide_constituent-mu2,phase_angle,"tide, sea",,water,,,phase_angle,,,,,,,,surface,,,constituent-mu2,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~n2__amplitude,sea_surface_water_tide_constituent-n2__amplitude,sea_surface_water_tide_constituent-n2,amplitude,"tide, sea",,water,,,amplitude,,,,,,,,surface,,,constituent-n2,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~n2__degrees-per-hour_speed,sea_surface_water_tide_constituent-n2__angular_speed,sea_surface_water_tide_constituent-n2,angular_speed,"tide, sea",,water,,,angular_speed,,,,,,,,surface,,,constituent-n2,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~n2__period,sea_surface_water_tide_constituent-n2__period,sea_surface_water_tide_constituent-n2,period,"tide, sea",,water,,,period,,,,,,,,surface,,,constituent-n2,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~n2__phase_angle,sea_surface_water_tide_constituent-n2__phase_angle,sea_surface_water_tide_constituent-n2,phase_angle,"tide, sea",,water,,,phase_angle,,,,,,,,surface,,,constituent-n2,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~nu2__amplitude,sea_surface_water_tide_constituent-nu2__amplitude,sea_surface_water_tide_constituent-nu2,amplitude,"tide, sea",,water,,,amplitude,,,,,,,,surface,,,constituent-nu2,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~nu2__degrees-per-hour_speed,sea_surface_water_tide_constituent-nu2__angular_speed,sea_surface_water_tide_constituent-nu2,angular_speed,"tide, sea",,water,,,angular_speed,,,,,,,,surface,,,constituent-nu2,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~nu2__period,sea_surface_water_tide_constituent-nu2__period,sea_surface_water_tide_constituent-nu2,period,"tide, sea",,water,,,period,,,,,,,,surface,,,constituent-nu2,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~nu2__phase_angle,sea_surface_water_tide_constituent-nu2__phase_angle,sea_surface_water_tide_constituent-nu2,phase_angle,"tide, sea",,water,,,phase_angle,,,,,,,,surface,,,constituent-nu2,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~o1__amplitude,sea_surface_water_tide_constituent-o1__amplitude,sea_surface_water_tide_constituent-o1,amplitude,"tide, sea",,water,,,amplitude,,,,,,,,surface,,,constituent-o1,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~o1__degrees-per-hour_speed,sea_surface_water_tide_constituent-o1__angular_speed,sea_surface_water_tide_constituent-o1,angular_speed,"tide, sea",,water,,,angular_speed,,,,,,,,surface,,,constituent-o1,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~o1__period,sea_surface_water_tide_constituent-o1__period,sea_surface_water_tide_constituent-o1,period,"tide, sea",,water,,,period,,,,,,,,surface,,,constituent-o1,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~o1__phase_angle,sea_surface_water_tide_constituent-o1__phase_angle,sea_surface_water_tide_constituent-o1,phase_angle,"tide, sea",,water,,,phase_angle,,,,,,,,surface,,,constituent-o1,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~oo1__amplitude,sea_surface_water_tide_constituent-oo1__amplitude,sea_surface_water_tide_constituent-oo1,amplitude,"tide, sea",,water,,,amplitude,,,,,,,,surface,,,constituent-oo1,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~oo1__degrees-per-hour_speed,sea_surface_water_tide_constituent-oo1__angular_speed,sea_surface_water_tide_constituent-oo1,angular_speed,"tide, sea",,water,,,angular_speed,,,,,,,,surface,,,constituent-oo1,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~oo1__period,sea_surface_water_tide_constituent-oo1__period,sea_surface_water_tide_constituent-oo1,period,"tide, sea",,water,,,period,,,,,,,,surface,,,constituent-oo1,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~oo1__phase_angle,sea_surface_water_tide_constituent-oo1__phase_angle,sea_surface_water_tide_constituent-oo1,phase_angle,"tide, sea",,water,,,phase_angle,,,,,,,,surface,,,constituent-oo1,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~oo2__amplitude,sea_surface_water_tide_constituent-oo2__amplitude,sea_surface_water_tide_constituent-oo2,amplitude,"tide, sea",,water,,,amplitude,,,,,,,,surface,,,constituent-oo2,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~oo2__degrees-per-hour_speed,sea_surface_water_tide_constituent-oo2__angular_speed,sea_surface_water_tide_constituent-oo2,angular_speed,"tide, sea",,water,,,angular_speed,,,,,,,,surface,,,constituent-oo2,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~oo2__period,sea_surface_water_tide_constituent-oo2__period,sea_surface_water_tide_constituent-oo2,period,"tide, sea",,water,,,period,,,,,,,,surface,,,constituent-oo2,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~oo2__phase_angle,sea_surface_water_tide_constituent-oo2__phase_angle,sea_surface_water_tide_constituent-oo2,phase_angle,"tide, sea",,water,,,phase_angle,,,,,,,,surface,,,constituent-oo2,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~p1__amplitude,sea_surface_water_tide_constituent-p1__amplitude,sea_surface_water_tide_constituent-p1,amplitude,"tide, sea",,water,,,amplitude,,,,,,,,surface,,,constituent-p1,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~p1__degrees-per-hour_speed,sea_surface_water_tide_constituent-p1__angular_speed,sea_surface_water_tide_constituent-p1,angular_speed,"tide, sea",,water,,,angular_speed,,,,,,,,surface,,,constituent-p1,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~p1__period,sea_surface_water_tide_constituent-p1__period,sea_surface_water_tide_constituent-p1,period,"tide, sea",,water,,,period,,,,,,,,surface,,,constituent-p1,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~p1__phase_angle,sea_surface_water_tide_constituent-p1__phase_angle,sea_surface_water_tide_constituent-p1,phase_angle,"tide, sea",,water,,,phase_angle,,,,,,,,surface,,,constituent-p1,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~q1__amplitude,sea_surface_water_tide_constituent-q1__amplitude,sea_surface_water_tide_constituent-q1,amplitude,"tide, sea",,water,,,amplitude,,,,,,,,surface,,,constituent-q1,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~q1__degrees-per-hour_speed,sea_surface_water_tide_constituent-q1__angular_speed,sea_surface_water_tide_constituent-q1,angular_speed,"tide, sea",,water,,,angular_speed,,,,,,,,surface,,,constituent-q1,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~q1__period,sea_surface_water_tide_constituent-q1__period,sea_surface_water_tide_constituent-q1,period,"tide, sea",,water,,,period,,,,,,,,surface,,,constituent-q1,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~q1__phase_angle,sea_surface_water_tide_constituent-q1__phase_angle,sea_surface_water_tide_constituent-q1,phase_angle,"tide, sea",,water,,,phase_angle,,,,,,,,surface,,,constituent-q1,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~r2__amplitude,sea_surface_water_tide_constituent-r2__amplitude,sea_surface_water_tide_constituent-r2,amplitude,"tide, sea",,water,,,amplitude,,,,,,,,surface,,,constituent-r2,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~r2__degrees-per-hour_speed,sea_surface_water_tide_constituent-r2__angular_speed,sea_surface_water_tide_constituent-r2,angular_speed,"tide, sea",,water,,,angular_speed,,,,,,,,surface,,,constituent-r2,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~r2__period,sea_surface_water_tide_constituent-r2__period,sea_surface_water_tide_constituent-r2,period,"tide, sea",,water,,,period,,,,,,,,surface,,,constituent-r2,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~r2__phase_angle,sea_surface_water_tide_constituent-r2__phase_angle,sea_surface_water_tide_constituent-r2,phase_angle,"tide, sea",,water,,,phase_angle,,,,,,,,surface,,,constituent-r2,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~rho__amplitude,sea_surface_water_tide_constituent-rho__amplitude,sea_surface_water_tide_constituent-rho,amplitude,"tide, sea",,water,,,amplitude,,,,,,,,surface,,,constituent-rho,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~rho__degrees-per-hour_speed,sea_surface_water_tide_constituent-rho__angular_speed,sea_surface_water_tide_constituent-rho,angular_speed,"tide, sea",,water,,,angular_speed,,,,,,,,surface,,,constituent-rho,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~rho__period,sea_surface_water_tide_constituent-rho__period,sea_surface_water_tide_constituent-rho,period,"tide, sea",,water,,,period,,,,,,,,surface,,,constituent-rho,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~rho__phase_angle,sea_surface_water_tide_constituent-rho__phase_angle,sea_surface_water_tide_constituent-rho,phase_angle,"tide, sea",,water,,,phase_angle,,,,,,,,surface,,,constituent-rho,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~s1__amplitude,sea_surface_water_tide_constituent-s1__amplitude,sea_surface_water_tide_constituent-s1,amplitude,"tide, sea",,water,,,amplitude,,,,,,,,surface,,,constituent-s1,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~s1__degrees-per-hour_speed,sea_surface_water_tide_constituent-s1__angular_speed,sea_surface_water_tide_constituent-s1,angular_speed,"tide, sea",,water,,,angular_speed,,,,,,,,surface,,,constituent-s1,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~s1__period,sea_surface_water_tide_constituent-s1__period,sea_surface_water_tide_constituent-s1,period,"tide, sea",,water,,,period,,,,,,,,surface,,,constituent-s1,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~s1__phase_angle,sea_surface_water_tide_constituent-s1__phase_angle,sea_surface_water_tide_constituent-s1,phase_angle,"tide, sea",,water,,,phase_angle,,,,,,,,surface,,,constituent-s1,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~s2__amplitude,sea_surface_water_tide_constituent-s2__amplitude,sea_surface_water_tide_constituent-s2,amplitude,"tide, sea",,water,,,amplitude,,,,,,,,surface,,,constituent-s2,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~s2__degrees-per-hour_speed,sea_surface_water_tide_constituent-s2__angular_speed,sea_surface_water_tide_constituent-s2,angular_speed,"tide, sea",,water,,,angular_speed,,,,,,,,surface,,,constituent-s2,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~s2__period,sea_surface_water_tide_constituent-s2__period,sea_surface_water_tide_constituent-s2,period,"tide, sea",,water,,,period,,,,,,,,surface,,,constituent-s2,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~s2__phase_angle,sea_surface_water_tide_constituent-s2__phase_angle,sea_surface_water_tide_constituent-s2,phase_angle,"tide, sea",,water,,,phase_angle,,,,,,,,surface,,,constituent-s2,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~s4__amplitude,sea_surface_water_tide_constituent-s4__amplitude,sea_surface_water_tide_constituent-s4,amplitude,"tide, sea",,water,,,amplitude,,,,,,,,surface,,,constituent-s4,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~s4__degrees-per-hour_speed,sea_surface_water_tide_constituent-s4__angular_speed,sea_surface_water_tide_constituent-s4,angular_speed,"tide, sea",,water,,,angular_speed,,,,,,,,surface,,,constituent-s4,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~s4__period,sea_surface_water_tide_constituent-s4__period,sea_surface_water_tide_constituent-s4,period,"tide, sea",,water,,,period,,,,,,,,surface,,,constituent-s4,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~s4__phase_angle,sea_surface_water_tide_constituent-s4__phase_angle,sea_surface_water_tide_constituent-s4,phase_angle,"tide, sea",,water,,,phase_angle,,,,,,,,surface,,,constituent-s4,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~s6__amplitude,sea_surface_water_tide_constituent-s6__amplitude,sea_surface_water_tide_constituent-s6,amplitude,"tide, sea",,water,,,amplitude,,,,,,,,surface,,,constituent-s6,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~s6__degrees-per-hour_speed,sea_surface_water_tide_constituent-s6__angular_speed,sea_surface_water_tide_constituent-s6,angular_speed,"tide, sea",,water,,,angular_speed,,,,,,,,surface,,,constituent-s6,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~s6__period,sea_surface_water_tide_constituent-s6__period,sea_surface_water_tide_constituent-s6,period,"tide, sea",,water,,,period,,,,,,,,surface,,,constituent-s6,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~s6__phase_angle,sea_surface_water_tide_constituent-s6__phase_angle,sea_surface_water_tide_constituent-s6,phase_angle,"tide, sea",,water,,,phase_angle,,,,,,,,surface,,,constituent-s6,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
sea_surface_water_tide_constituent~sa__amplitude,sea_surface_water_tide_constituent-sa__amplitude,sea_surface_water_tide_constituent-sa,amplitude,"tide, sea",,water,,,amplitude,,,,,,,,surface,,,constituent-sa,,PHENOMENON_ABSTRACTION_MATTER_PHENOMENON_PART,PROPERTY
