attribute_id,attribute_label,property_id,value,unit,canonical_unit,attribute,synonym,wikipedia_page
less-than-9.5-mm,less-than-9.5-mm,diameter,less-than-9.5,mm,L,,,
less-than-90-mm,less-than-90-mm,diameter,less-than-90,mm,L,,,
less-than-96-mm,less-than-96-mm,diameter,less-than-96,mm,L,,,
pm1,pm1,diameter,less-than-1,um,L,,,
pm10,pm10,diameter,less-than-10,um,L,,,
pm2p5,pm2p5,diameter,less-than-2p5,um,L,,,
0-to-60-mph,0-to-60-mph,velocity,0-to-60,mph,L T^-1,,,
2x-critical-level,2x-critical-level,level,2x-critical,,,,,
boiling-point,boiling-point,temperature,boiling-point,,O,,,https://en.wikipedia.org/wiki/Boiling_point
bubble-point,bubble-point,temperature,bubble-point,,O,,,https://en.wikipedia.org/wiki/Bubble_point
critical-point,critical-point,temperature,critical-state,,,,,https://en.wikipedia.org/wiki/Critical_point_(thermodynamics)
dew-point,dew-point,temperature,dew-point,,O,,,https://en.wikipedia.org/wiki/Dew_point
freezing-point,freezing-point,temperature,freezing-point,,O,,,https://en.wikipedia.org/wiki/Melting_point
frost-point,frost-point,temperature,frost-point,,O,,,https://en.wikipedia.org/wiki/Dew_point#Frost_point
high-level,high-level,level,high,,,,,
highest-tenth,highest-tenth,,highest-tenth,,,,,
low-level,low-level,level,low,,,,,
mean-sea-level,mean-sea-level,level,mean-sea,,,,,
melting-point,melting-point,temperature,melting-point,,,,,https://en.wikipedia.org/wiki/Melting_point
stp,stp,"temperature, pressure",standard,,,,standard temperature and pressure,https://en.wikipedia.org/wiki/Standard_conditions_for_temperature_and_pressure
wilting-point,wilting-point,temperature,wilting-point,,,,,https://en.wikipedia.org/wiki/Permanent_wilting_point
north,north,cardinal_direction,north,,,,,https://en.wikipedia.org/wiki/North
south,south,cardinal_direction,south,,,,,https://en.wikipedia.org/wiki/South
east,east,cardinal_direction,east,,,,,https://en.wikipedia.org/wiki/East
west,west,cardinal_direction,west,,,,,https://en.wikipedia.org/wiki/West
north~geodetic,north~geodetic,cardinal_direction,north,,,geodetic,,https://en.wikipedia.org/wiki/True_north
north~magnetic,north~magnetic,cardinal_direction,north,,,magnetic,,
north~terrestrial,north~terrestrial,cardinal_direction,north,,,terrestrial,,
north~virtual,north~virtual,cardinal_direction,north,,,virtual,,
south~magnetic,south~magnetic,cardinal_direction,south,,,magnetic,,
south~terrestrial,south~terrestrial,cardinal_direction,south,,,terrestrial,,
land-presence,land-presence,presence,,,,,,
sea-presence,sea-presence,presence,,,,,,
potential-temperature,potential-temperature,temperature,,,O,,,
manufactured-in-2008,manufactured-in-2008,manufacture_year,2008,year,T,,,
400-to-600nm,400-to-600nm,wavelength,400-to-600,nm,L,,,
780-to-900nm,780-to-900nm,wavelength,780-to-900,nm,L,,,
254nm,254nm,wavelength,254,nm,L,,,
