attribute_id,attribute_label,noun,matter_id,property_id,value,synonym,plural_of,wikipedia_page
nucleation-mode,nucleation-mode,,,mode,,,,
observed,observed,,,,,,,
oil-range,oil-range,,,,,,,
open-top,open-top,,,,,,,
optical,optical,,,,,,,
organic,organic,,,,,,,https://en.wikipedia.org/wiki/Organic_compound
orographic,orographic,,,,,,,
osmotic,osmotic,,,,,,,
outer,outer,,,,,,,
oven-dried,oven-dried,,,,,,,
overcast-sky,overcast-sky,,,,,,,https://en.wikipedia.org/wiki/Overcast
oxygenated,oxygenated,,,,,,,https://en.wikipedia.org/wiki/Oxygenation
partial,partial,,,,,,,https://en.wiktionary.org/wiki/partial
peak,peak,,,,,,,
photosynthetic,photosynthetic,,,,,,,
photosynthetically-active,photosynthetically-active,,,activity,,,,
polar,polar,,,,,,,
polychlorinated,polychlorinated,,,,,,,
potential,potential,,,,,,,
precise,precise,,,,,,,
primary,primary,,,,,,,
private,private,,,,,,,
public,public,,,,,,,
radiative,radiative,,,,,,,
radiated,radiated,,,,,,,
radioactive,radioactive,,,,,,,https://en.wikipedia.org/wiki/Radioactive_decay
rear,rear,,,,,,,https://en.wiktionary.org/wiki/rear#Adjective_2
recoverable,recoverable,,,,,,,
rectifying,rectifying,,,,,,,
reduced,reduced,,,,,,,
reference,reference,,,,,,,
reflected,reflected,,,,,,,
relativisitic,relativistic,,,,,,,
remaining,remaining,,,,,,,
residential,residential,,,,,,,https://en.wiktionary.org/wiki/residential#Adjective
residual,residual,,,,,,,https://en.wikipedia.org/wiki/Residue_(chemistry)
right,right,,,,,,,
saturated,saturated,,,saturation,,,,
seaward,seaward,,,,,,,
second,second,,,,,,,
secondary,secondary,,,,,,,
seismic,seismic,,,,,,,
semi-major,semi-major,,,,,,,
semi-minor,semi-minor,,,,,,,
sensible,sensible,,,,,,,
settleable,settleable,,,,,,,
shortwave,shortwave,,,wavelength,,,,
sidereal,sidereal,,,,,,,
sleet,sleet,noun,water,phase,,,,http://en.wikipedia.org/wiki/Sleet
