phenomenon_taxonomic,phenomenon_id,phenomenon_label,phenomenon,attribute,part,abstraction,expressed-as,matter,form,role,body,process,trajectory,trajectory_direction,synonym,plural_of,wikipedia_page
,earth_orbit_ellipse_foci,earth_orbit_ellipse_foci,earth_orbit_ellipse,,,foci,,,,,,,,,,,
,earth_orbit_perihelion,earth_orbit_perihelion,earth_orbit,,,perihelion,,,,,,,,,,,
,earth_pole~north~magnetic,earth_pole~north~magnetic,,,,pole~north~magnetic,,,,,earth,,,,,,
,earth_pole~north~virtual,earth_pole~north~virtual,,,,pole~north~virtual,,,,,earth,,,,,,
,earth_pole~south~magnetic,earth_pole~south~magnetic,,,,pole~south~magnetic,,,,,earth,,,,,,
,earth_rotation,earth,,,,,,,,,earth,rotation,,,,,
,earth_surface,earth_surface,,,,surface,,,,,earth,,,,,,
,earth_surface_viewpoint,earth_surface_viewpoint,earth_surface,,,viewpoint,,,,,,,,,,,
,earthquake_epicenter,earthquake_epicenter,earthquake,,,epicenter,,,,,,,,,,,
,earthquake_focus,earthquake_focus,earthquake,,,focus,,,,,,,,,,,
,earthquake_hypocenter,earthquake_hypocenter,earthquake,,,hypocenter,,,,,,,,,,,
,entrance_center,entrance_center,,,,center,,,,entrance,,,,,,,
,entrance_x-section,entrance_x-section,,,,x-section,,,,entrance,,,,,,,
,entrance_x-section_top,entrance_x-section_top,entrance_x-section,,top,,,,,,,,,,,,
,entrance~wetted_x-section,entrance~wetted_x-section,,,,x-section,,,,entrance~wetted,,,,,,,
,exit_center,exit_center,,,,center,,,,exit,,,,,,,
,fault_plane,fault_plane,,,,plane,,,fault,,,,,,,,
,fault_plane_rupture,fault_plane,fault_plane,,,,,,,,,rupture,,,,,
,fertilizer~nitrogen,fertilizer~nitrogen,,,,,,nitrogen,,fertilizer,,,,,,,
,fertilizer~nitrogen_application,fertilizer~nitrogen,fertilizer~nitrogen,,,,,,,,,application,,,,,
,fertilizer~nitrogen_utilization,fertilizer~nitrogen,fertilizer~nitrogen,,,,,,,,,utilization,,,,,
,freshwater_flowing,freshwater,,,,,,freshwater,,,,flowing,,,,,
,forage_harvest,forage,,,,,,,,forage,,harvest,,,,,
,forage_death,forage,,,,,,,,forage,,death,,,,,
,glacier_bed_surface,glacier_bed_surface,,,,surface,,,,,glacier_bed,,,,,,
,glacier_bottom_sliding,glacier_bottom,,,,,,,,,glacier_bottom,sliding,,,,,
,glacier_bottom_surface,glacier_bottom_surface,,,,surface,,,,,glacier_bottom,,,,,,
,glacier_equilibrium-line,glacier_equilibrium-line,,,,equilibrium-line,,,,,glacier,,,,,,
,glacier_surface,glacier_surface,,,,surface,,,,,glacier,,,,,,
,glacier_terminus_advance,glacier_terminus,,,,,,,,,glacier_terminus,advance,,,,,
,glacier_terminus_calving,glacier_terminus,,,,,,,,,glacier_terminus,calving,,,,,
,glacier_terminus_retreat,glacier_terminus,,,,,,,,,glacier_terminus,retreat,,,,,
,glacier_top_surface,glacier_top_surface,,,,surface,,,,,glacier_top,,,,,,
,grain_harvest,grain,,,,,,,,,grain,harvest,,,,,
,grain_death,grain,,,,,,,,,grain,death,,,,,
,human_hearing,human,,,,,,,,,human,hearing,,,,,
,human_life,human,,,,,,,,,human,living,,,,,
,hydrometeor_falling,hydrometeor,,,,,,,,,hydrometeor,falling,,,,,
,ice_ablation,ice,,,,,,ice,,,,ablation,,,,,
,ice_accumulation,ice,,,,,,ice,,,,accumulation,,,,,
,ice_desublimation,ice,,,,,,ice,,,,desublimation,,,,,
,ice_flowing,ice,,,,,,ice,,,,flowing,,,,,
,ice_fusion,ice,,,,,,ice,,,,fusion,,,,,
,ice_isentropic-process,ice,,,,,,ice,,,,isentropic-process,,,,,
,ice_isobaric-process,ice,,,,,,ice,,,,isobaric-process,,,,,
,ice_isochoric-process,ice,,,,,,ice,,,,isochoric-process,,,,,
,ice_isothermal-process,ice,,,,,,ice,,,,isothermal-process,,,,,
,ice_melting,ice,,,,,,ice,,,,melting,,,,,
,ice_sliding,ice,,,,,,ice,,,,sliding,,,,,
,ice_sublimation,ice,,,,,,ice,,,,sublimation,,,,,
,ice_surface,ice_surface,,,,surface,,ice,,,,,,,,,
thawing-front,ice_thawing-front,ice_thawing-front,,,,,,ice,,,,,,,,,
,ice_vaporization,ice,,,,,,ice,,,,vaporization,,,,,
,jupiter_rising,jupiter,,,,,,,,,jupiter,rising,,,,,
