phenomenon_id,participant1,participant1cat,participant1cattype,participant1class,participant2,participant2cat,participant2cattype,participant2class,participant3,participant3cat,participant3cattype,participant3class,participant4,participant4cat,participant4cattype,participant4class,participant5,participant5cat,participant5cattype,participant5class
region~state@medium_land~vegetated,region~state,medium,,"form, ",land~vegetated,,,"body, ",,,,,,,,,,,,
region~state@medium_land~water-covered,region~state,medium,,"form, ",land~water-covered,,,"body, ",,,,,,,,,,,,
region~state@medium_parkland,region~state,medium,,"form, ",parkland,,,"body, ",,,,,,,,,,,,
rocket@medium_payload,rocket,medium,,"body, ",payload,,,"role, ",,,,,,,,,,,,
rocket@medium_propellant,rocket,medium,,"body, ",propellant,,,"matter, ",,,,,,,,,,,,
sea@medium_ice,sea,medium,,"body, ",ice,,,"matter, attribute, ",,,,,,,,,,,,
sediment@medium,sediment,medium,,"matter, ",,,,,,,,,,,,,,,,
sediment@medium_clay,sediment,medium,,"matter, ",clay,,,"matter, ",,,,,,,,,,,,
sediment@medium_mud,sediment,medium,,"matter, ",mud,,,"matter, ",,,,,,,,,,,,
sediment@medium_sand,sediment,medium,,"matter, ",sand,,,"matter, ",,,,,,,,,,,,
sediment@medium_saturated_water,sediment,medium,,"matter, ",saturated,,,"attribute, ",water,,,"matter, ",,,,,,,,
sediment@medium_silt,sediment,medium,,"matter, ",silt,,,"matter, ",,,,,,,,,,,,
snowpack@medium_water~liquid,snowpack,medium,,"body, ",water~liquid,,,"matter, ",,,,,,,,,,,,
soil@medium,soil,medium,,"matter, ",,,,,,,,,,,,,,,,
soil@medium_(clay_oven-dried),soil,medium,,"matter, ",clay_oven-dried,,,"matter, ",,,,,,,,,,,,
soil@medium_(clay_particle),soil,medium,,"matter, ",clay_particle,,,"body, ",,,,,,,,,,,,
soil@medium_(loam_oven-dried),soil,medium,,"matter, ",loam_oven-dried,,,"matter, ",,,,,,,,,,,,
soil@medium_(macropores_x-section~horizontal),soil,medium,,"matter, ",macropores_x-section~horizontal,,,"phenomenon, ",,,,,,,,,,,,
soil@medium_(macropores_x-section~vertical),soil,medium,,"matter, ",macropores_x-section~vertical,,,"phenomenon, ",,,,,,,,,,,,
soil@medium_(matter~organic_oven-dried),soil,medium,,"matter, ",matter~organic_oven-dried,,,"matter, ",,,,,,,,,,,,
soil@medium_(sand_oven-dried),soil,medium,,"matter, ",sand_oven-dried,,,"matter, ",,,,,,,,,,,,
soil@medium_(silt_oven-dried),soil,medium,,"matter, ",silt_oven-dried,,,"matter, ",,,,,,,,,,,,
soil@medium_air,soil,medium,,"matter, ",air,,,"matter, ",,,,,,,,,,,,
soil@medium_ammonium-as-nitrogen~elemental,soil,medium,,"matter, ",ammonium-as-nitrogen~elemental,,,"matter, ",,,,,,,,,,,,
soil@medium_clay,soil,medium,,"matter, ",clay,,,"matter, ",,,,,,,,,,,,
soil@medium_ice,soil,medium,,"matter, ",ice,,,"matter, attribute, ",,,,,,,,,,,,
soil@medium_infiltration_water,soil,medium,,"matter, ",infiltration,,,"process, ",water,,,"matter, ",,,,,,,,
soil@medium_loam,soil,medium,,"matter, ",loam,,,"matter, ",,,,,,,,,,,,
soil@medium_macropores,soil,medium,,"matter, ",macropores,,,"form, ",,,,,,,,,,,,
soil@medium_matter~organic,soil,medium,,"matter, ",matter~organic,,,"matter, ",,,,,,,,,,,,
soil@medium_nitrate-as-nitrogen~elemental,soil,medium,,"matter, ",nitrate-as-nitrogen~elemental,,,"matter, ",,,,,,,,,,,,
soil@medium_oven-dried_water,soil,medium,,"matter, ",oven-dried,,,"attribute, ",water,,,"matter, ",,,,,,,,
soil@medium_rock,soil,medium,,"matter, ",rock,,,"matter, ",,,,,,,,,,,,
soil@medium_sand,soil,medium,,"matter, ",sand,,,"matter, ",,,,,,,,,,,,
soil@medium_saturated,soil,medium,,"matter, ",saturated,,,"attribute, ",,,,,,,,,,,,
soil@medium_saturated_water,soil,medium,,"matter, ",saturated,,,"attribute, ",water,,,"matter, ",,,,,,,,
soil@medium_silt,soil,medium,,"matter, ",silt,,,"matter, ",,,,,,,,,,,,
soil@medium_void,soil,medium,,"matter, ",void,,,"form, ",,,,,,,,,,,,
soil@medium_water,soil,medium,,"matter, ",water,,,"matter, ",,,,,,,,,,,,
soil@medium_wilting-point_water,soil,medium,,"matter, ",wilting-point,,,"attribute, ",water,,,"matter, ",,,,,,,,
soil~drained@medium_water,soil~drained,medium,,"matter, ",water,,,"matter, ",,,,,,,,,,,,
soil~no-rock@medium_silt,soil~no-rock,medium,,"matter, ",silt,,,"matter, ",,,,,,,,,,,,
water@medium,water,medium,,"matter, ",,,,,,,,,,,,,,,,
water@medium_biota,water,medium,,"matter, ",biota,,,"body, ",,,,,,,,,,,,
water@medium_carbon-dioxide,water,medium,,"matter, ",carbon-dioxide,,,"matter, ",,,,,,,,,,,,
water@medium_diatoms,water,medium,,"matter, ",diatoms,,,"body, ",,,,,,,,,,,,
water@medium_diethyl-ether,water,medium,,"matter, ",diethyl-ether,,,"matter, ",,,,,,,,,,,,
water@medium_diffusion_salt,water,medium,,"matter, ",diffusion,,,"process, ",salt,,,"matter, ",,,,,,,,
water@medium_ethanol,water,medium,,"matter, ",ethanol,,,"matter, ",,,,,,,,,,,,
