matter_taxonomic,matter_id,matter_label,attribute,synonym,plural_of,wikipedia_page
compound,2-nitrophenol,2-nitrophenol,,o-nitrophenol,,https://en.wikipedia.org/wiki/Nitrophenol
compound,2-nitropropane,2-nitropropane,,,,https://en.wikipedia.org/wiki/2-Nitropropane
compound,2-nitrotoluene,2-nitrotoluene,,o-nitrotoluene,,https://en.wikipedia.org/wiki/2-Nitrotoluene
compound,2-picoline,2-picoline,,2-methylpyridine,,https://en.wikipedia.org/wiki/2-Methylpyridine
compound,"2,2-dichloro-1,1,1-trifluoroethane","2,2-dichloro-1,1,1-trifluoroethane",,hcfc-123,,"https://en.wikipedia.org/wiki/2,2-Dichloro-1,1,1-trifluoroethane"
compound,"2,2-dichloropropane","2,2-dichloropropane",,,,
compound,"2,2'-biquinoline","2,2'-biquinoline",,,,
compound,"2,3-dichloropropene","2,3-dichloropropene",,,,
compound,"2,3-dimethylbutane","2,3-dimethylbutane",,"butane,-2,3-dimethyl-",,"https://en.wikipedia.org/wiki/2,3-Dimethylbutane"
compound,"2,3,3-trimethylpentane","2,3,3-trimethylpentane",,"pentane,-2,3,3-trimethyl-",,"https://en.wikipedia.org/wiki/2,3,3-Trimethylpentane"
compound,"2,3,4-trimethylpentane","2,3,4-trimethylpentane",,"pentane,-2,3,4-trimethyl-",,"https://en.wikipedia.org/wiki/2,3,4-Trimethylpentane"
compound,"2,3,4,5-tetrachlorophenol","2,3,4,5-tetrachlorophenol",,,,
compound,"2,3,4,6-tetrachlorophenol","2,3,4,6-tetrachlorophenol",,,,
compound,"2,3,4,6,7,8-hexachlorodibenzofuran","2,3,4,6,7,8-hexachlorodibenzofuran",,,,
compound,"2,3,4,7,8-pentachlorodibenzofuran","2,3,4,7,8-pentachlorodibenzofuran",,"dioxins, dlc",,"https://en.wikipedia.org/wiki/2,3,4,7,8-Pentachlorodibenzofuran"
compound,"2,3,5-trimethylnaphthalene","2,3,5-trimethylnaphthalene",,"1,6,7-trimethylnaphthalene",,
compound,"2,3,5,6-tetramethylphenol","2,3,5,6-tetramethylphenol",,"phenol,-2,3,5,6-tetramethyl-",,
