phenomenon_id,participant1,participant1cat,participant1cattype,participant1class,participant2,participant2cat,participant2cattype,participant2class,participant3,participant3cat,participant3cattype,participant3class,participant4,participant4cat,participant4cattype,participant4class,participant5,participant5cat,participant5cattype,participant5class
(channel~stream@context~part_reach)@context~source_(water_flowing),channel~stream@context~part_reach,context,source,,water_flowing,,,"phenomenon, ",,,,,,,,,,,,
(crop@context~in_biomass)@context~sink_(nitrogen_application),crop@context~in_biomass,context,sink,,nitrogen_application,,,"phenomenon, ",,,,,,,,,,,,
(crop@context~part_root)@context~in_(nitrogen_accumulation),crop@context~part_root,context,in,,nitrogen_accumulation,,,"phenomenon, ",,,,,,,,,,,,
(crop@context~source_((residue_pool)@context~part_root-and-rhizodeposit))@context~in_(carbon_decomposition),crop@context~source_((residue_pool)@context~part_root-and-rhizodeposit),context,in,,carbon_decomposition,,,"phenomenon, ",,,,,,,,,,,,
(delta_beds~bottomset)@context~on_(sediment@medium_clay),delta_beds~bottomset,context,on,"body, ",sediment@medium_clay,,,,,,,,,,,,,,,
(delta_beds~bottomset)@context~on_(sediment@medium_sand),delta_beds~bottomset,context,on,"body, ",sediment@medium_sand,,,,,,,,,,,,,,,
(delta_beds~bottomset)@context~on_(sediment@medium_silt),delta_beds~bottomset,context,on,"body, ",sediment@medium_silt,,,,,,,,,,,,,,,
(delta_beds~foreset)@context~on_(sediment@medium_clay),delta_beds~foreset,context,on,"body, ",sediment@medium_clay,,,,,,,,,,,,,,,
(delta_beds~foreset)@context~on_(sediment@medium_sand),delta_beds~foreset,context,on,"body, ",sediment@medium_sand,,,,,,,,,,,,,,,
(delta_beds~foreset)@context~on_(sediment@medium_silt),delta_beds~foreset,context,on,"body, ",sediment@medium_silt,,,,,,,,,,,,,,,
(delta_beds~topset)@context~on_(sediment@medium_clay),delta_beds~topset,context,on,"body, ",sediment@medium_clay,,,,,,,,,,,,,,,
(delta_beds~topset)@context~on_(sediment@medium_sand),delta_beds~topset,context,on,"body, ",sediment@medium_sand,,,,,,,,,,,,,,,
(delta_beds~topset)@context~on_(sediment@medium_silt),delta_beds~topset,context,on,"body, ",sediment@medium_silt,,,,,,,,,,,,,,,
(delta_beds~topset~lower)@context~on_(sediment@medium_silt),delta_beds~topset~lower,context,on,"body, ",sediment@medium_silt,,,,,,,,,,,,,,,
(delta_beds~topset~upper)@context~on_(sediment@medium_silt),delta_beds~topset~upper,context,on,"body, ",sediment@medium_silt,,,,,,,,,,,,,,,
(delta_front)@context~in_(sediment_grain),delta_front,context,in,"body, ",sediment_grain,,,"body, ",,,,,,,,,,,,
(delta_front)@context~in_sediment,delta_front,context,in,"body, ",sediment,,,"matter, ",,,,,,,,,,,,
(dihydrogen_molecule)@context~part_bond~h-h,dihydrogen_molecule,context,part,"body, ",bond~h-h,,,"phenomenon, ",,,,,,,,,,,,
(dinitrogen_molecule)@context~part_bond~n-n,dinitrogen_molecule,context,part,"body, ",bond~n-n,,,"phenomenon, ",,,,,,,,,,,,
(dioxygen_molecule)@context~part_bond~o-o,dioxygen_molecule,context,part,"body, ",bond~o-o,,,"phenomenon, ",,,,,,,,,,,,
(distributary@context~part_outlet)@context~in_(water_flowing_x-section),distributary@context~part_outlet,context,in,,water_flowing_x-section,,,"phenomenon, ",,,,,,,,,,,,
(distributary@context~part_outlet)@context~in_(water_x-section),distributary@context~part_outlet,context,in,,water_x-section,,,"phenomenon, ",,,,,,,,,,,,
(earth_crust)@context~in_(material@context~in_oxygen),earth_crust,context,in,"body, ",material@context~in_oxygen,,,,,,,,,,,,,,,
(earth_crust)@context~in_(material@medium_(material_melt~partial)),earth_crust,context,in,"body, ",material@medium_(material_melt~partial),,,,,,,,,,,,,,,
(earth_crust)@context~in_(material@medium_water),earth_crust,context,in,"body, ",material@medium_water,,,,,,,,,,,,,,,
(earth_crust)@context~in_(material@role~medium_wave~seismic~p@role~main),earth_crust,context,in,"body, ",material@role~medium_wave~seismic~p@role~main,,,,,,,,,,,,,,,
(earth_crust)@context~in_(material@role~medium_wave~seismic~s@role~main),earth_crust,context,in,"body, ",material@role~medium_wave~seismic~s@role~main,,,,,,,,,,,,,,,
(earth_crust)@context~in_(material@role~medium_wave~seismic~sh@role~main),earth_crust,context,in,"body, ",material@role~medium_wave~seismic~sh@role~main,,,,,,,,,,,,,,,
(earth_crust)@context~in_(material@role~medium_wave~seismic~sv@role~main),earth_crust,context,in,"body, ",material@role~medium_wave~seismic~sv@role~main,,,,,,,,,,,,,,,
