body_taxonomic,body_id,body_label,role,form,attribute,synonym,plural_of,wikipedia_page
,coliform,coliform,,,,,,https://en.wikipedia.org/wiki/Coliform_bacteria
,coliforms,coliforms,,,,,coliform,
coliforms,coliforms~fecal,coliforms~fecal,,,,,,https://en.wikipedia.org/wiki/Fecal_coliform
,collothecaceae,collothecaceae,,,,,,
,collothecidae,collothecidae,,,,,,
,colobaea,colobaea,,,,,,https://en.wikipedia.org/wiki/Colobaea
,conchapelopia,conchapelopia,,,,,,https://en.wikipedia.org/wiki/Conchapelopia
,conchostraca,conchostraca,,,,clam-shrimp,,https://en.wikipedia.org/wiki/Clam_shrimp
,conochilidae,conochilidae,,,,,,
,conochiloides,conochiloides,,,,,,
,constempellina,constempellina,,,,,,https://en.wikipedia.org/wiki/Constempellina
,contiger,contiger,,,,,,https://en.wikipedia.org/wiki/Contiger
,cordylophora,cordylophora,,,,,,https://en.wikipedia.org/wiki/Cordylophoridae
cordylophora,cordylophora~lacustris,cordylophora~lacustris,,,,,,
,corethrella,corethrella,,,,,,https://en.wikipedia.org/wiki/Corethrella
,corophiidae,corophiidae,,,,,,https://en.wikipedia.org/wiki/Corophiidae
,corophium,corophium,,,,,,https://en.wikipedia.org/wiki/Corophium
,corynoneura,corynoneura,,,,,,https://en.wikipedia.org/wiki/Corynoneura
,crangonyx,crangonyx,,,,,,https://en.wikipedia.org/wiki/Crangonyx
,cricotopus,cricotopus,,,,,,https://en.wikipedia.org/wiki/Cricotopus
cricotopus,cricotopus~bicinctus,cricotopus~bicinctus,,,,,,https://en.wikipedia.org/wiki/Cricotopus_bicinctus
,cryptochia,cryptochia,,,,,,
,cryptochironomus,cryptochironomus,,,,,,https://en.wikipedia.org/wiki/Cryptochironomus
cryptochironomus,cryptochironomus~blarina,cryptochironomus~blarina,,,,,,
cryptochironomus,cryptochironomus~fulvus,cryptochironomus~fulvus,,,,,,
,cryptosporidium,cryptosporidium,,,,,,https://en.wikipedia.org/wiki/Cryptosporidium
,cryptotendipes,cryptotendipes,,,,,,https://en.wikipedia.org/wiki/Cryptotendipes
,ctenophora,ctenophora,,,,,,https://en.wikipedia.org/wiki/Ctenophora
,culex,culex,,,,,,https://en.wikipedia.org/wiki/Culex
,culicidae,culicidae,,,,mosquito,,https://en.wikipedia.org/wiki/Mosquito
,culicoides,culicoides,,,,,,https://en.wikipedia.org/wiki/Culicoides
,culiseta,culiseta,,,,,,https://en.wikipedia.org/wiki/Culiseta
,culoptila,culoptila,,,,,,https://en.wikipedia.org/wiki/Culoptila
,cumacea,cumacea,,,,,,https://en.wikipedia.org/wiki/Cumacea
