phenomenon_taxonomic,phenomenon_id,phenomenon_label,phenomenon,form,matter,part,abstraction,process,attribute,trajectory_direction,associated_process,synonym,plural_of,wikipedia_page,,
,ice-shove,ice-shove,,,,,,,,,,"ice-heave, ivu, ice-surge, shoreline-ice-pileup",,https://en.wikipedia.org/wiki/Ice_shove,,
,black-hole,black-hole,,,,,,,,,,,,https://en.wikipedia.org/wiki/Black_hole,,
,bond,bond,,,,,,,,,bond,,,https://en.wikipedia.org/wiki/Chemical_bond,,
,cloud,cloud,,,,,,,,,,,,https://en.wikipedia.org/wiki/Cloud,,
,clouds,clouds,,,,,,,,,,,cloud,,,
,cyclone,cyclone,,,,,,,,,,,,https://en.wikipedia.org/wiki/Cyclone,,
,ecosystem,ecosystem,,,,,,,,,,,,http://en.wikipedia.org/wiki/Ecosystem,,
,fire,fire,,,,,,,,,combustion,,,https://en.wikipedia.org/wiki/Fire,,
,fires,fires,,,,,,,,,combustion,,fire,,,
,flood,flood,,,,,,,,,flood,,,http://en.wikipedia.org/wiki/Flood,,
,fog,fog,,,,,,,,,fogging,,,https://en.wikipedia.org/wiki/Fog,,
,forest,forest,,,,,,,,,,,,https://en.wikipedia.org/wiki/Forest,,
,forestry,forestry,,,,,,,,,,,,https://en.wikipedia.org/wiki/Forestry,,
,lightning,lightning,,,,,,,,,,,,https://en.wikipedia.org/wiki/Lightning,,
,permafrost,permafrost,,,,,,,,,,,,http://en.wikipedia.org/wiki/Permafrost,,
,photon,photon,,,,,,,,,,,,https://en.wikipedia.org/wiki/Photon,,
,savanna,savanna,,,,,,,,,,savannah,,https://en.wikipedia.org/wiki/Savanna,,
,storm,storm,,,,,,,,,,,,http://en.wikipedia.org/wiki/Storm,,
storm,cyclone,cyclone,,,,,,,,,,,,,,
storm,thunderstorm,thunderstorm,,,,,,,,,,"storm~electrical, storm~lightning, thundershower",,https://en.wikipedia.org/wiki/Thunderstorm,,
,tropopause,tropopause,,,,,,,,,,,,https://en.wikipedia.org/wiki/Tropopause,,
,universe,universe,,,,,,,,,,,,http://en.wikipedia.org/wiki/Universe,,
,vacuum,vacuum,,,,,,,,,,free_space,,https://en.wikipedia.org/wiki/Vacuum#In_electromagnetism,,
,habitat,habitat,,,,,,,,,,,,https://en.wikipedia.org/wiki/Habitat,,
,drought,drought,,,,,,,,,,,,https://en.wikipedia.org/wiki/Drought,,
,hydraulic-jump,hydraulic-jump,,,,,,,,,,,,https://en.wikipedia.org/wiki/Hydraulic_jump,,
,fibrosis,fibrosis,,,,,,,,,,,,https://en.wikipedia.org/wiki/Fibrosis,,
,filamentation,filamentation,,,,,,,,,,,,https://en.wikipedia.org/wiki/Filamentation,,
,forecast,forecast,,,,,,,,,,,,https://en.wikipedia.org/wiki/Forecasting,,
,gelifluction,gelifluction,,,,,,,,,,,,https://en.wikipedia.org/wiki/Gelifluction,,
,guttation,guttation,,,,,,,,,,,,https://en.wikipedia.org/wiki/Guttation,,
,gyre,gyre,,,,,,,,,,,,https://en.wikipedia.org/wiki/Gyre,,
,heterosis,heterosis,,,,,,,,,,,,https://en.wikipedia.org/wiki/Heterosis,,
,extinction,extinction,,,,,,,,,,,,https://en.wikipedia.org/wiki/Extinction,,
,infarction,infarction,,,,,,,,,,,,https://en.wikipedia.org/wiki/Infarction,,
,landfall,landfall,,,,,,,,,,,,https://en.wikipedia.org/wiki/Landfall,,
,life,life,,,,,,,,,living,,,http://en.wikipedia.org/wiki/Life,,
,panspermia,panspermia,,,,,,,,,,,,https://en.wikipedia.org/wiki/Panspermia,,
,paralysis,paralysis,,,,,,,,,paralyze,,,,,
,peristalsis,peristalsis,,,,,,,,,,,,https://en.wikipedia.org/wiki/Peristalsis,,
,power-blackout,power-blackout,,,,,,,,,,,,https://en.wikipedia.org/wiki/Power_outage,,
,stemflow,stemflow,,,,,,,,,flowing,,,https://en.wikipedia.org/wiki/Stemflow,,
,symbiosis,symbiosis,,,,,,,,,,,,https://en.wikipedia.org/wiki/Symbiosis,,
,synnecrosis,synnecrosis,,,,,,,,,,,,https://en.wikipedia.org/wiki/Biological_interaction#Competition,,
,treefall-gap,treefall-gap,,,,,,,,,,,,https://en.wikipedia.org/wiki/Treefall_gap,,
,treethrow,treethrow,,,,,,,,,,"tree-throw, tree-hole",,https://en.wikipedia.org/wiki/Tree_throw,,
,superposition,superposition,,,,,,,,,,,,https://en.wikipedia.org/wiki/Superposition_principle,,
,stasis,stasis,,,,,,,,,,,,https://en.wikipedia.org/wiki/Stability_theory,,
,shortage,shortage,,,,,,,,,,,,https://en.wikipedia.org/wiki/Shortage,,
,progradation,progradation,,,,,,,,,,,,http://en.wikipedia.org/wiki/Progradation,,
,repercussion,repercussion,,,,,,,,,,,,,,
,lateration,lateration,,,,,,,,,,,,,,
,multilateration,multilateration,,,,,,,,,,,,https://en.wikipedia.org/wiki/Multilateration,,
,water_tide,water_tide,tide,,water,,,,,,,,,,,
,water_tide_constituents~all,water_tide_constituents~all,tide,,water,constituents~all,,,,,,,,,,
,water_tide_constituent~2mk3,water_tide_constituent~2mk3,tide,,water,constituent~2mk3,,,,,,,,,,
,water_tide_constituent~2mk3_amphidromic-points,water_tide_constituent~2mk3_amphidromic-points,tide,,water,constituent~2mk3,amphidromic-points,,,,,,,,,
,water_tide_constituent~2n2,water_tide_constituent~2n2,tide,,water,constituent~2n2,,,,,,,,,,
,water_tide_constituent~2q1,water_tide_constituent~2q1,tide,,water,constituent~2q1,,,,,,,,,,
,water_tide_constituent~2sm2,water_tide_constituent~2sm2,tide,,water,constituent~2sm2,,,,,,,,,,
,water_tide_constituent~j1,water_tide_constituent~j1,tide,,water,constituent~j1,,,,,,,,,,
,water_tide_constituent~k1,water_tide_constituent~k1,tide,,water,constituent~k1,,,,,,,,,,
,water_tide_constituent~k2,water_tide_constituent~k2,tide,,water,constituent~k2,,,,,,,,,,
,water_tide_constituent~l2,water_tide_constituent~l2,tide,,water,constituent~l2,,,,,,,,,,
,water_tide_constituent~lam2,water_tide_constituent~lam2,tide,,water,constituent~lam2,,,,,,,,,,
,water_tide_constituent~m1,water_tide_constituent~m1,tide,,water,constituent~m1,,,,,,,,,,
,water_tide_constituent~m2,water_tide_constituent~m2,tide,,water,constituent~m2,,,,,,,,,,
,water_tide_constituent~m3,water_tide_constituent~m3,tide,,water,constituent~m3,,,,,,,,,,
,water_tide_constituent~m4,water_tide_constituent~m4,tide,,water,constituent~m4,,,,,,,,,,
,water_tide_constituent~m6,water_tide_constituent~m6,tide,,water,constituent~m6,,,,,,,,,,
,water_tide_constituent~m8,water_tide_constituent~m8,tide,,water,constituent~m8,,,,,,,,,,
,water_tide_constituent~mf,water_tide_constituent~mf,tide,,water,constituent~mf,,,,,,,,,,
,water_tide_constituent~mk3,water_tide_constituent~mk3,tide,,water,constituent~mk3,,,,,,,,,,
,water_tide_constituent~mm,water_tide_constituent~mm,tide,,water,constituent~mm,,,,,,,,,,
,water_tide_constituent~mn4,water_tide_constituent~mn4,tide,,water,constituent~mn4,,,,,,,,,,
,water_tide_constituent~ms4,water_tide_constituent~ms4,tide,,water,constituent~ms4,,,,,,,,,,
,water_tide_constituent~msf,water_tide_constituent~msf,tide,,water,constituent~msf,,,,,,,,,,
,water_tide_constituent~mu2,water_tide_constituent~mu2,tide,,water,constituent~mu2,,,,,,,,,,
,water_tide_constituent~n2,water_tide_constituent~n2,tide,,water,constituent~n2,,,,,,,,,,
,water_tide_constituent~nu2,water_tide_constituent~nu2,tide,,water,constituent~nu2,,,,,,,,,,
,water_tide_constituent~o1,water_tide_constituent~o1,tide,,water,constituent~o1,,,,,,,,,,
,water_tide_constituent~oo1,water_tide_constituent~oo1,tide,,water,constituent~oo1,,,,,,,,,,
,water_tide_constituent~oo2,water_tide_constituent~oo2,tide,,water,constituent~oo2,,,,,,,,,,
,water_tide_constituent~p1,water_tide_constituent~p1,tide,,water,constituent~p1,,,,,,,,,,
,water_tide_constituent~q1,water_tide_constituent~q1,tide,,water,constituent~q1,,,,,,,,,,
,water_tide_constituent~r2,water_tide_constituent~r2,tide,,water,constituent~r2,,,,,,,,,,
,water_tide_constituent~rho,water_tide_constituent~rho,tide,,water,constituent~rho,,,,,,,,,,
,water_tide_constituent~s1,water_tide_constituent~s1,tide,,water,constituent~s1,,,,,,,,,,
,water_tide_constituent~s2,water_tide_constituent~s2,tide,,water,constituent~s2,,,,,,,,,,
,water_tide_constituent~s4,water_tide_constituent~s4,tide,,water,constituent~s4,,,,,,,,,,
,water_tide_constituent~s6,water_tide_constituent~s6,tide,,water,constituent~s6,,,,,,,,,,
,water_tide_constituent~sa,water_tide_constituent~sa,tide,,water,constituent~sa,,,,,,,,,,
,water_tide_constituent~ssa,water_tide_constituent~ssa,tide,,water,constituent~ssa,,,,,,,,,,
,water_tide_constituent~t2,water_tide_constituent~t2,tide,,water,constituent~t2,,,,,,,,,,
,water_wave,water_wave,wave,,water,,,,,,,,,,,
,water_wave_crest_x-section_vertex,water_wave_crest_x-section_vertex,,,water,,crest_x-section_vertical,,,,,,,,,
,water_wave_crestline,water_wave_crestline,wave,,water,,crestline,,,,,,,,,
,water_wave_orbit,water_wave_orbit,wave,,water,,,orbit,,,,,,,,
,water_wave_ray,water_wave_ray,wave,,water,,ray,,,,,,,,,
,water_wave~breaking,water_wave~breaking,wave~breaking,,water,,,,,,,,,,,
,water_wave~gravity~internal,water_wave~gravity~internal,wave~gravity~internal,,water,,,,,,,,,,,
,water_wetting-front,water_wetting-front,wetting-front,,water,,,,,,,,,,,
,processes,processes,,,,,,processing,,,,,,,,
,impaction,impaction,,,,,,impaction,,,,,,,,
