phenomenon_id,participant1,participant1cat,participant1cattype,participant1class,participant2,participant2cat,participant2cattype,participant2class,participant3,participant3cat,participant3cattype,participant3class,participant4,participant4cat,participant4cattype,participant4class,participant5,participant5cat,participant5cattype,participant5class
(soil_pool)@role~sink_pool~microbial@role~sink_carbon~decomposed@role~main_addition,soil_pool,role,sink,"body, ",pool~microbial,role,sink,"body, ",carbon~decomposed,role,main,"matter, ",addition,,,"process, ",,,,
(soil_profile_bottom)@role~source_(water_draining)@role~medium_(ammonium_leaching)@role~main,soil_profile_bottom,role,source,"phenomenon, ",water_draining,role,medium,"phenomenon, ",ammonium_leaching,role,main,"phenomenon, ",,,,,,,,
(soil_profile_bottom)@role~source_(water_draining)@role~medium_(nitrate_leaching)@role~main,soil_profile_bottom,role,source,"phenomenon, ",water_draining,role,medium,"phenomenon, ",nitrate_leaching,role,main,"phenomenon, ",,,,,,,,
(soil_profile_bottom)@role~source_water@role~main_draining,soil_profile_bottom,role,source,"phenomenon, ",water,role,main,"matter, ",draining,,,"process, ",,,,,,,,
(soil_sat-zone_top)@role~main_water@role~in_recharge,soil_sat-zone_top,role,main,"body, ",water,role,in,"matter, ",recharge,,,"process, ",,,,,,,,
(soil_surface)@role~sink_water@role~main_infiltration,soil_surface,role,sink,"phenomenon, ",water,role,main,"matter, ",infiltration,,,"process, ",,,,,,,,
(soil_surface)@role~sink_water@role~main_irrigation,soil_surface,role,sink,"phenomenon, ",water,role,main,"matter, ",irrigation,,,"process, ",,,,,,,,
(soil_surface)@role~source_water@role~main_evaporation,soil_surface,role,source,"phenomenon, ",water,role,main,"matter, ",evaporation,,,"process, ",,,,,,,,
(tank~storage~open-top@context~part_outlet)@role~source_(water_flowing)@role~main,tank~storage~open-top@context~part_outlet,role,source,,water_flowing,role,main,"phenomenon, ",,,,,,,,,,,,
(titan@context~surrounding_atmosphere)@role~source_methane@role~main_precipitation,titan@context~surrounding_atmosphere,role,source,,methane,role,main,"matter, ",precipitation,,,"process, ",,,,,,,,
(vegetation_canopy)@role~main_water@role~in_interception,vegetation_canopy,role,main,"body, ",water,role,in,"matter, ",interception,,,"process, ",,,,,,,,
(vegetation_canopy)@role~sink_water@role~main_interception,vegetation_canopy,role,sink,"body, ",water,role,main,"matter, ",interception,,,"process, ",,,,,,,,
(vegetation_canopy)@role~source_water@role~main_transpiration,vegetation_canopy,role,source,"body, ",water,role,main,"matter, ",transpiration,,,"process, ",,,,,,,,
(venus_orbit)@role~first_(venus_ecliptic)@role~second,venus_orbit,role,first,"phenomenon, ",venus_ecliptic,role,second,"phenomenon, ",,,,,,,,,,,,
(water_flowing)@role~exchange_friction,water_flowing,role,exchange,"phenomenon, ",friction,,,"process, ",,,,,,,,,,,,
(water_flowing)@role~main_sink@role~sink,water_flowing,role,main,"phenomenon, ",sink,role,sink,"role, ",,,,,,,,,,,,
(water_flowing)@role~main_source@role~source,water_flowing,role,main,"phenomenon, ",source,role,source,"role, ",,,,,,,,,,,,
(water_flowing)@role~medium_dissipation,water_flowing,role,medium,"phenomenon, ",dissipation,,,"process, ",,,,,,,,,,,,
aerosol@role~main_radiation~incoming~shortwave@role~in_absorption,aerosol,role,main,"form, attribute, ",radiation~incoming~shortwave,role,in,"phenomenon, ",absorption,,,"process, ",,,,,,,,
aerosol@role~main_radiation~incoming~shortwave@role~in_reflection,aerosol,role,main,"form, attribute, ",radiation~incoming~shortwave,role,in,"phenomenon, ",reflection,,,"process, ",,,,,,,,
aerosol@role~main_radiation~incoming~shortwave@role~in_transmission,aerosol,role,main,"form, attribute, ",radiation~incoming~shortwave,role,in,"phenomenon, ",transmission,,,"process, ",,,,,,,,
aerosol@role~main_radiation~outgoing~longwave@role~out_emission,aerosol,role,main,"form, attribute, ",radiation~outgoing~longwave,role,out,"phenomenon, ",emission,,,"process, ",,,,,,,,
aerosol@role~sink_radiation~incoming~shortwave@role~main_absorption,aerosol,role,sink,"form, attribute, ",radiation~incoming~shortwave,role,main,"phenomenon, ",absorption,,,"process, ",,,,,,,,
aerosol@role~sink_radiation~incoming~shortwave@role~main_reflection,aerosol,role,sink,"form, attribute, ",radiation~incoming~shortwave,role,main,"phenomenon, ",reflection,,,"process, ",,,,,,,,
aerosol@role~sink_radiation~incoming~shortwave@role~main_transmission,aerosol,role,sink,"form, attribute, ",radiation~incoming~shortwave,role,main,"phenomenon, ",transmission,,,"process, ",,,,,,,,
air@role~exchange_land@role~exchange,air,role,exchange,"matter, ",land,role,exchange,"body, ",,,,,,,,,,,,
air@role~main_radiation@role~out_emission,air,role,main,"matter, ",radiation,role,out,"phenomenon, process, ",emission,,,"process, ",,,,,,,,
