body_taxonomic,body_id,body_label,body,part,form,expressed-as,matter,attribute,synonym,plural_of,wikipedia_page
,nitrate-ion,nitrate,,,ion,,nitrate,,,,https://en.wikipedia.org/wiki/Nitrate
,nitrite-ion,nitrite,,,ion,,nitrite,,,,https://en.wikipedia.org/wiki/Nitrite
,ocean,ocean,,,,,,,,,http://en.wikipedia.org/wiki/Ocean
,ozone_molecule,ozone_molecule,,,molecule,,ozone,,,,
land,parkland,parkland,,,,,,,,,https://en.wikipedia.org/wiki/Park
land,pasture,pasture,,,,,,,,,https://en.wikipedia.org/wiki/Pasture
,phosphate-ion,phosphate,,,ion,,phosphate,,,,https://en.wikipedia.org/wiki/Phosphate
land,plain,plain,,,,,,,,,https://en.wikipedia.org/wiki/Plain
plain,plain~lower,plain~lower,,,,,,lower,,,
plain,plain~subaqueous,plain~subaqueous,,,,,,subaqueous,,,
plain,plain~upper,plain~upper,,,,,,upper,,,
plain,plain~upper~farmed,plain~upper~farmed,,,,,,"upper, farmed",,,
plain,plain~upper~residential,plain~upper~residential,,,,,,"upper, residential",,,
plain,plain~upper~urban,plain~upper~urban,,,,,,"upper, urban",,,
plain,plain~upper~vegetated,plain~upper~vegetated,,,,,,"upper, vegetated",,,
,planet,planet,,,,,,,,,https://en.wikipedia.org/wiki/Planet
,pool~microbial,pool~microbial,,,pool,,,microbial,,,
,raindrop,raindrop,,,droplet,,water,,,,https://en.wikipedia.org/wiki/Drop_(liquid)
,rhizodeposit,rhizodeposit,,,,,,,,,
,root,root,,,,,,,,,
,root-and-rhizodeposit,root-and-rhizodeposit,"root, rhizodeposit",,,,,,,,
,roots-and-rhizodeposits,roots-and-rhizodeposits,,,,,,,,root-and-rhizodeposit,
roots-and-rhizodeposits,roots-and-rhizodeposits-as-carbon,roots-and-rhizodeposits-as-carbon,,,,carbon,,,,,
,sand_grain,sand_grain,,,grain,,sand,,,,
planet,saturn,saturn,,,,,,,,,http://en.wikipedia.org/wiki/Saturn
,sea,sea,,,,,,,,,http://en.wikipedia.org/wiki/Sea
,sea_bed,sea_bed,sea,bed,,,,,,,
,sea_bottom,sea_bottom,sea,bottom,,,,,,,
,sea_floor,sea_floor,sea,floor,,,,,,,
,sea_photic-zone,sea_photic-zone,sea,photic-zone,,,,,,,
,sea_photic-zone_bottom,sea_photic-zone_bottom,sea_photic-zone,bottom,,,,,,,
sea,sea_water,sea_water,sea,,,,water,,,,
,sea_zone~aphotic,sea_zone~aphotic,sea,zone~aphotic,,,,,,,
,sea_zone~aphotic_top,sea_zone~aphotic_top,sea_zone~aphotic,top,,,,,,,
,sea_zone~surf,sea_zone~surf,sea,zone~surf,,,,,,,
,sediment_bulk,sediment_bulk,,,bulk,,sediment,,,,
,sediment_grain,sediment_grain,,,grain,,sediment,,,,
,sediment_layer,sediment_layer,,layer,,,sediment,,,,
,sediment_particle,sediment_particle,,,particle,,sediment,,,,
,sediment~bedload_grain,sediment~bedload_grain,,,grain,,sediment~bedload,,,,
,shore,shore,,,,,,,,,https://en.wikipedia.org/wiki/Shore
