https://w3id.org/mint/modelCatalog#VariablePresentation,http://www.w3.org/2000/01/rdf-schema#label,https://w3id.org/mint/modelCatalog#hasShortName,https://w3id.org/mint/modelCatalog#hasLongName,http://purl.org/dc/terms/description,https://w3id.org/mint/modelCatalog#hasStandardVariable,https://w3id.org/mint/modelCatalog#usesUnit,https://w3id.org/mint/modelCatalog#hasCanonicalName,https://w3id.org/mint/modelCatalog#hasMinimumAcceptedValue,https://w3id.org/mint/modelCatalog#hasMaximumAcceptedValue,https://w3id.org/mint/modelCatalog#hasDefaultValue
econ_fert_subsidy,fert_subsidy,fert_subsidy,nitrogen fertilizer subsidy,percent reduction in nitrogen fertilizer cost per unit applied,fertilizer~nitrogen__application_reduced_cost_fraction,percent,,,,
econ_land_area,land area,land area,land allocation,land area by crop (simulated),land_crop__simulated_allocated_area,ha,land_crop__allocated_area,,,
econ_obsyield,obsyield,obsyield,crop yields,crop yields per unit land area (simulated),land_crop__simulated_mass-per-area_yield,kg/ha,land_crop__mass-per-area_yield,,,
econ_production,production,production,crop production,total production by crop (simulated),crop__simulated_produced_mass,kg,crop__production,,,
econ_Nfert,Nfert,Nfert,nitrogen fertilizer applications,nitrogen fertilizer applications (simulated),land_fertilizer~nitrogen__simulated_applied_mass-per-area_density,kg/ha,,,,
,,,,,,,,,,
cycles_doy,DOY,DOY,day of the year,Calendar day from 1 to 366,,,,,,
cycles_pp,PP,PP,precipitation,Precipitation,atmosphere_water__time_integral_of_precipitation_leq_volume_flux,mm,atmosphere_water__precipitation_leq_volume_flux,,,
cycles_tx,Tx,Tx,temperature air maximum of the day,Maximum air temperature recorded or model-generated for that day at 1.5 m above the surface,air__daily_max_of_temperature,C,,,,
cycles_tn,Tn,Tn,temperature minimum of the day,Minimum air temperature recorded or model-generated for that day at 1.5 m above the surface,air__daily_min_of_temperature,C,,,,
cycles_sr,Solar,Solar,solar radiation of the dayï¿½,Shortwave incoming radiation on a horizontal surface at elevation of the location,land_surface~horizontal_radiation~incoming~shortwave__energy_flux,MJ/m2/day,,,,
cycles_hx,RHx,RHx,relative humidity maximum,relative humidity maximum,atmosphere_air_water~vapor__max_of_relative_saturation,Pa/Pa x 100,,,,
cycles_hn,RHn,RHn,relative humidity minimum,relative humidity minimum,atmosphere_air_water~vapor__min_of_relative_saturation,%,,,,
cycles_ws,Wind,Wind,wind speed,Wind speed at 1.5 m above the surface,land_surface_wind__speed,m/s,,,,
cycles_cn,CURVE_NUMBER,CURVE_NUMBER,soil curve number,A number that describes the soil disposition towards runoff (100 = all runoff) NRCS method adapted to field models,land_surface_water__usdanrcs_runoff_curve_number,,,,,
cycles_slope,SLOPE,SLOPE,slope of the field,Average slope of field of interest,land_surface__slope,m/m,,,,
cycles_layer,LAYER,LAYER,soil layer number,Soil layer number from 1 to an integer that is user defined (or database defined),,,,,,
cycles_dz,DZ,DZ,soil layer thickness,Soil layer thickness,soil_layer__thickness,m,,,,
cycles_clay,CLAY,CLAY,clay percentage,clay particle size fraction size fraction of each soil layer in %.,soil_clay_particle__volume_fraction,%,,,,
cycles_silt,SILT,SILT,silt percentage,Silt mass per unit of soil mass (no rocks) and expressed as a percentage,soil~no-rock_silt__mass_fraction,%,,,,
cycles_rv,RV,RV,rock volume,Rock volume expressed as volume over total volume,soil_rock__volume_fraction,m3/m3,,,,
