full_name,variable_id,variable_label,object_cat,object_id,object_label,object_pref,quantity_id,quantity_label
atmosphere_bottom_air__mass-specific_isobaric_heat_capacity,(atmosphere_bottom)@context~in_(air_isobaric-process)__isobaric_mass-specific_heat_capacity,atmosphere_bottom_air__isobaric_mass-specific_heat_capacity,,(atmosphere_bottom)@context~in_(air_isobaric-process),atmosphere_bottom_air,phenomenon,isobaric_mass-specific_heat_capacity,isobaric_mass-specific_heat_capacity
atmosphere_bottom_air__neutral_bulk_latent_heat_transfer_coefficient,(atmosphere_bottom)@context~in_air__neutral_bulk_latent_heat_transfer_coefficient,atmosphere_bottom_air__neutral_bulk_latent_heat_transfer_coefficient,,(atmosphere_bottom)@context~in_air,atmosphere_bottom_air,phenomenon,neutral_bulk_latent_heat_transfer_coefficient,neutral_bulk_latent_heat_transfer_coefficient
atmosphere_bottom_air__neutral_bulk_momentum_transfer_coefficient,(atmosphere_bottom)@context~in_air__neutral_bulk_momentum_transfer_coefficient,atmosphere_bottom_air__neutral_bulk_momentum_transfer_coefficient,,(atmosphere_bottom)@context~in_air,atmosphere_bottom_air,phenomenon,neutral_bulk_momentum_transfer_coefficient,neutral_bulk_momentum_transfer_coefficient
atmosphere_bottom_air__neutral_bulk_sensible_heat_transfer_coefficient,(atmosphere_bottom)@context~in_air__neutral_bulk_sensible_heat_transfer_coefficient,atmosphere_bottom_air__neutral_bulk_sensible_heat_transfer_coefficient,,(atmosphere_bottom)@context~in_air,atmosphere_bottom_air,phenomenon,neutral_bulk_sensible_heat_transfer_coefficient,neutral_bulk_sensible_heat_transfer_coefficient
atmosphere_bottom_air__pressure,(atmosphere_bottom)@context~in_air__pressure,atmosphere_bottom_air__pressure,,(atmosphere_bottom)@context~in_air,atmosphere_bottom_air,phenomenon,pressure,pressure
atmosphere_bottom_air__static_pressure,(atmosphere_bottom)@context~in_air__static_pressure,atmosphere_bottom_air__static_pressure,,(atmosphere_bottom)@context~in_air,atmosphere_bottom_air,phenomenon,static_pressure,static_pressure
atmosphere_bottom_air__temperature,(atmosphere_bottom)@context~in_air__temperature,atmosphere_bottom_air__temperature,,(atmosphere_bottom)@context~in_air,atmosphere_bottom_air,phenomenon,temperature,temperature
atmosphere_bottom_air_carbon-dioxide__equilibrium_partial_pressure,(atmosphere_bottom)@context~in_(air@medium_equilibrium_carbon-dioxide)__equilibrium_partial_pressure,atmosphere_bottom_air_carbon-dioxide__equilibrium_partial_pressure,,(atmosphere_bottom)@context~in_(air@medium_equilibrium_carbon-dioxide),atmosphere_bottom_air_carbon-dioxide,phenomenon,equilibrium_partial_pressure,equilibrium_partial_pressure
atmosphere_bottom_air_carbon-dioxide__partial_pressure,(atmosphere_bottom)@context~in_(air@medium_carbon-dioxide)__partial_pressure,atmosphere_bottom_air_carbon-dioxide__partial_pressure,,(atmosphere_bottom)@context~in_(air@medium_carbon-dioxide),atmosphere_bottom_air_carbon-dioxide,phenomenon,partial_pressure,partial_pressure
atmosphere_bottom_air_carbon-dioxide__relative_saturation,(atmosphere_bottom)@context~in_(air@medium_carbon-dioxide)__saturation_ratio,atmosphere_bottom_air_carbon-dioxide__relative_saturation,,(atmosphere_bottom)@context~in_(air@medium_carbon-dioxide),atmosphere_bottom_air_carbon-dioxide,phenomenon,saturation_ratio,relative_saturation
