description,associated resource,current label,Current svo uri,current svo iri,provided label,provided svo iri,Unnamed: 4,Unnamed: 5,label change,iri change
drawdown,MODFLOW input/output,groundwater_surface__reduction_of_elevation,ground%40context%7Ein_%28water_surface%29__reduction_of_elevation,ground@context~in_(water_surface)__reduction_of_elevation,groundwater_surface__reduction_of_elevation,,,,FALSE,FALSE
subsidence,MODFLOW input/output,ground__subsidence_length,ground%40role%7Emain_subsidence__subsidence_length,ground@role~main_subsidence__subsidence_length,ground__subsidence_length,,,,FALSE,FALSE
compaction by model layer,MODFLOW input/output,model_layer_ground__compaction_length,model%40context%7Ein_%28%28grid_layer%29%40context%7Ein_%28ground%40role%7Emain_compaction%29%29__compaction_length__compaction_length,model@context~in_((grid_layer)@context~in_(ground@role~main_compaction))__compaction_length,model_layer_ground__compaction_length,,,,FALSE,FALSE
compaction by interbed system,MODFLOW input/output,ground_interbed~no-delay__compaction_length,ground%40context%7Epart_%28interbed%7Eno-delay%40role%7Emain_compaction%29__compaction_length,ground@context~part_(interbed~no-delay@role~main_compaction)__compaction_length,ground_interbed~no-delay__compaction_length,,,,FALSE,FALSE
compaction by interbed system,MODFLOW input/output,ground_interbed~delay__compaction_length,ground%40context%7Epart_%28interbed%7Edelay%40role%7Emain_compaction%29__compaction_length,ground@context~part_(interbed~delay@role~main_compaction)__compaction_length,ground_interbed~delay__compaction_length,,,,FALSE,FALSE
vertical displacement by model layer,MODFLOW input/output,model_grid_layer_groundwater__vertical_displacement,model%40context%7Ein_%28%28grid_layer%29%40context%7Ein_%28%28land_surface%29%40context%7Ebelow_%28ground%40context%7Ein_water%29%29%29__vertical_displacement,model@context~in_((grid_layer)@context~in_((land_surface)@context~below_(ground@context~in_water)))__vertical_displacement,model_grid_layer_groundwater__vertical_displacement,,,,FALSE,FALSE
critical head for no-delay interbeds,MODFLOW input/output,ground_interbed~no-delay_water__critical_head,ground%40context%7Epart_%28interbed%7Eno-delay%40context%7Ein_water%29__critical_head,ground@context~part_(interbed~no-delay@context~in_water)__critical_head,ground_interbed~no-delay_water__critical_head,,,,FALSE,FALSE
critical head for delay interbeds,MODFLOW input/output,ground_interbed~delay_water__critical_head,ground%40context%7Epart_%28interbed%7Edelay%40context%7Ein_water%29__critical_head,ground@context~part_(interbed~delay@context~in_water)__critical_head,ground_interbed~delay_water__critical_head,,,,FALSE,FALSE
Seasonal crop production index,MINT Indicators Spreadsheet,crop__seasonal_production_index,crop_production__seasonal_production_index,crop__seasonal_production_index,,,,,FALSE,FALSE
Streamflow Duration Index,MINT Indicators Spreadsheet,channel~stream_water__flow_duration_index,channel%7Estream%40context%7Ein_%28water%40role%7Emain_flowing%29__flow_duration_index,channel~stream@context~in_(water@role~main_flowing)__flow_duration_index,,,,,FALSE,FALSE
Geospatial Flood exceedance index,MINT Indicators Spreadsheet,watershed_water_flow__geospatial_flood_depth_exceedance_index,watershed%40context%7Ein_%28water%40role%7Emain_flowing%29_flood__geospatial_flood_depth_exceedance_index,watershed@context~in_(water@role~main_flowing)__geospatial_flood_depth_exceedance_index,,,,,FALSE,FALSE
Simulation_start_year,https://psumodeling.github.io/Cycles/#simulation-control-file-ctrl,model__simulation_start_time,model%40role%7Emain_simulation__simulation_start_time,model@role~main_simulation__simulation_start_time,,,,,,
Simulation_end_year,https://psumodeling.github.io/Cycles/#simulation-control-file-ctrl,model__simulation_end_time,model%40role%7Emain_simulation__simulation_end_time,model@role~main_simulation__simulation_end_time,,,,,,
CROP, https://psumodeling.github.io/Cycles/#planting,crop__name,crop__name,crop__name,,,,,,
DOY, https://psumodeling.github.io/Cycles/#planting,crop__planting_start_time,crop_planting__planting_start_time,crop_planting__planting_start_time,,,,,,
END_DOY, https://psumodeling.github.io/Cycles/#planting,crop__planting_end_time,crop_planting__planting_end_time,crop_planting__planting_end_time,,,,,,
FRACTION, https://psumodeling.github.io/Cycles/#planting,crop__planting_count-per-area_density_fraction,crop_planting__planting_count-per-area_density_fraction,crop_planting__planting_count-per-area_density_fraction,,,,,,
MASS,https://psumodeling.github.io/Cycles/#fixed_fertilization,land_fertilizer__applied_mass,land%40role%7Esink_fertilizer%40role%7Emain_application__applied_mass,land@role~sink_fertilizer@role~main_application__applied_mass,,,,,,
